Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.00000","0.00041","0.00000"
"0.00010","0.00057","0.02000"
"0.00061","0.00030","0.04000"
"0.00139","0.00052","0.06000"
"0.00229","0.00103","0.08000"
"0.00263","0.00166","0.10000"
"0.00316","0.00190","0.12000"
"0.00416","0.00225","0.14000"
"0.00541","0.00321","0.16000"
"0.00651","0.00448","0.18000"
"0.00750","0.00553","0.20000"
"0.00873","0.00686","0.22000"
"0.01019","0.00856","0.24000"
"0.01144","0.01029","0.26000"
"0.01233","0.01204","0.28000"
"0.01330","0.01335","0.30000"
"0.01435","0.01467","0.32000"
"0.01538","0.01673","0.34000"
"0.01628","0.01855","0.36000"
"0.01702","0.02040","0.38000"
"0.01795","0.02195","0.40000"
"0.01921","0.02387","0.42000"
"0.02061","0.02667","0.44000"
"0.02166","0.03017","0.46000"
"0.02240","0.03339","0.48000"
"0.02331","0.03591","0.50000"
"0.02436","0.03853","0.52000"
"0.02545","0.04181","0.54000"
"0.02641","0.04522","0.56000"
"0.02716","0.04890","0.58000"
"0.02803","0.05226","0.60000"
"0.02920","0.05564","0.62000"
"0.03056","0.06007","0.64000"
"0.03166","0.06535","0.66000"
"0.03238","0.07025","0.68000"
"0.03323","0.07432","0.70000"
"0.03430","0.07855","0.72000"
"0.03542","0.08381","0.74000"
"0.03647","0.08957","0.76000"
"0.03725","0.09539","0.78000"
"0.03807","0.10052","0.80000"
"0.03918","0.10589","0.82000"
"0.04048","0.11273","0.84000"
"0.04165","0.12082","0.86000"
"0.04244","0.12889","0.88000"
"0.04326","0.13550","0.90000"
"0.04431","0.14132","0.92000"
"0.04543","0.14841","0.94000"
"0.04650","0.15656","0.96000"
"0.04731","0.16509","0.98000"
"0.04807","0.17216","1.00000"
"0.04910","0.17860","1.02000"
"0.05039","0.18664","1.04000"
"0.05166","0.19706","1.06000"
"0.05253","0.20828","1.08000"
"0.05332","0.21725","1.10000"
"0.05433","0.22467","1.12000"
"0.05542","0.23348","1.14000"
"0.05648","0.24356","1.16000"
"0.05734","0.25357","1.18000"
"0.05807","0.26239","1.20000"
"0.05903","0.27027","1.22000"
"0.06026","0.27939","1.24000"
"0.06159","0.29152","1.26000"
"0.06259","0.30532","1.28000"
"0.06338","0.31659","1.30000"
"0.06434","0.32558","1.32000"
"0.06541","0.33524","1.34000"
"0.06648","0.34627","1.36000"
"0.06738","0.35759","1.38000"
"0.06809","0.36735","1.40000"
"0.06896","0.37522","1.42000"
"0.07015","0.38440","1.44000"
"0.07151","0.39685","1.46000"
"0.07264","0.41119","1.48000"
"0.07344","0.42388","1.50000"
"0.07435","0.43345","1.52000"
"0.07538","0.44256","1.54000"
"0.07642","0.45325","1.56000"
"0.07739","0.46465","1.58000"
"0.07815","0.47516","1.60000"
"0.07899","0.48378","1.62000"
"0.08012","0.49311","1.64000"
"0.08148","0.50543","1.66000"
"0.08269","0.52033","1.68000"
"0.08350","0.53428","1.70000"
"0.08433","0.54464","1.72000"
"0.08535","0.55399","1.74000"
"0.08639","0.56466","1.76000"
"0.08743","0.57677","1.78000"
