Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.00000","0.00009","0.00000"
"0.00005","0.00042","0.02000"
"0.00027","0.00039","0.04000"
"0.00095","0.00021","0.06000"
"0.00139","-0.00016","0.08000"
"0.00152","-0.00008","0.10000"
"0.00215","-0.00005","0.12000"
"0.00318","-0.00016","0.14000"
"0.00418","0.00008","0.16000"
"0.00506","0.00109","0.18000"
"0.00610","0.00467","0.20000"
"0.00732","0.01236","0.22000"
"0.00849","0.02509","0.24000"
"0.00924","0.04048","0.26000"
"0.00986","0.05344","0.28000"
"0.01070","0.06438","0.30000"
"0.01170","0.07794","0.32000"
"0.01266","0.09513","0.34000"
"0.01355","0.11379","0.36000"
"0.01420","0.13226","0.38000"
"0.01478","0.14746","0.40000"
"0.01556","0.16092","0.42000"
"0.01659","0.17720","0.44000"
"0.01774","0.19892","0.46000"
"0.01876","0.22434","0.48000"
"0.01938","0.24741","0.50000"
"0.01995","0.26354","0.52000"
"0.02076","0.27560","0.54000"
"0.02175","0.28805","0.56000"
"0.02272","0.30159","0.58000"
"0.02363","0.31370","0.60000"
"0.02430","0.32380","0.62000"
"0.02485","0.33099","0.64000"
"0.02557","0.33736","0.66000"
"0.02657","0.34493","0.68000"
"0.02771","0.35523","0.70000"
"0.02879","0.36775","0.72000"
"0.02950","0.37979","0.74000"
"0.03005","0.38807","0.76000"
"0.03079","0.39470","0.78000"
"0.03175","0.40275","0.80000"
"0.03271","0.41349","0.82000"
"0.03361","0.42500","0.84000"
"0.03433","0.43567","0.86000"
"0.03489","0.44388","0.88000"
"0.03557","0.45085","0.90000"
"0.03651","0.45916","0.92000"
"0.03766","0.47129","0.94000"
"0.03879","0.48660","0.96000"
"0.03957","0.50153","0.98000"
"0.04010","0.51287","1.00000"
"0.04077","0.52075","1.02000"
"0.04169","0.53012","1.04000"
"0.04264","0.54267","1.06000"
"0.04354","0.55673","1.08000"
"0.04434","0.57027","1.10000"
"0.04493","0.58192","1.12000"
"0.04555","0.59115","1.14000"
"0.04641","0.60103","1.16000"
"0.04752","0.61401","1.18000"
"0.04872","0.63113","1.20000"
"0.04967","0.64993","1.22000"
"0.05024","0.66513","1.24000"
"0.05084","0.67540","1.26000"
"0.05169","0.68471","1.28000"
"0.05262","0.69704","1.30000"
"0.05351","0.71203","1.32000"
"0.05434","0.72718","1.34000"
"0.05500","0.74069","1.36000"
"0.05561","0.75202","1.38000"
"0.05641","0.76209","1.40000"
"0.05747","0.77520","1.42000"
"0.05867","0.79278","1.44000"
"0.05970","0.81348","1.46000"
"0.06030","0.83131","1.48000"
"0.06084","0.84302","1.50000"
"0.06162","0.85301","1.52000"
"0.06258","0.86649","1.54000"
"0.06352","0.88339","1.56000"
"0.06441","0.90092","1.58000"
"0.06510","0.91706","1.60000"
"0.06568","0.92995","1.62000"
"0.06641","0.94111","1.64000"
