Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.00000","0.00023","0.00000"
"0.00003","0.00039","0.02000"
"0.00022","0.00024","0.04000"
"0.00049","0.00007","0.06000"
"0.00072","-0.00035","0.08000"
"0.00072","-0.00016","0.10000"
"0.00087","0.00022","0.12000"
"0.00120","0.00036","0.14000"
"0.00161","0.00032","0.16000"
"0.00198","-0.00009","0.18000"
"0.00225","-0.00021","0.20000"
"0.00252","-0.00023","0.22000"
"0.00283","0.00006","0.24000"
"0.00319","0.00016","0.26000"
"0.00362","0.00014","0.28000"
"0.00411","0.00009","0.30000"
"0.00465","0.00003","0.32000"
"0.00517","-0.00015","0.34000"
"0.00564","-0.00013","0.36000"
"0.00604","-0.00005","0.38000"
"0.00639","-0.00004","0.40000"
"0.00668","-0.00001","0.42000"
"0.00692","-0.00007","0.44000"
"0.00712","-0.00014","0.46000"
"0.00734","-0.00003","0.48000"
"0.00757","0.00019","0.50000"
"0.00784","0.00044","0.52000"
"0.00818","0.00074","0.54000"
"0.00858","0.00150","0.56000"
"0.00905","0.00234","0.58000"
"0.00954","0.00347","0.60000"
"0.00996","0.00514","0.62000"
"0.01029","0.00697","0.64000"
"0.01056","0.00883","0.66000"
"0.01085","0.01060","0.68000"
"0.01120","0.01268","0.70000"
"0.01156","0.01524","0.72000"
"0.01190","0.01833","0.74000"
"0.01217","0.02141","0.76000"
"0.01238","0.02453","0.78000"
"0.01262","0.02697","0.80000"
"0.01288","0.02937","0.82000"
"0.01317","0.03209","0.84000"
"0.01352","0.03536","0.86000"
"0.01392","0.03948","0.88000"
"0.01438","0.04478","0.90000"
"0.01487","0.05080","0.92000"
"0.01533","0.05751","0.94000"
"0.01575","0.06462","0.96000"
"0.01613","0.07090","0.98000"
"0.01646","0.07713","1.00000"
"0.01673","0.08281","1.02000"
"0.01698","0.08760","1.04000"
"0.01720","0.09164","1.06000"
"0.01740","0.09566","1.08000"
"0.01762","0.09932","1.10000"
"0.01787","0.10297","1.12000"
"0.01816","0.10712","1.14000"
"0.01852","0.11233","1.16000"
"0.01895","0.11862","1.18000"
"0.01945","0.12619","1.20000"
"0.01993","0.13506","1.22000"
"0.02031","0.14423","1.24000"
"0.02060","0.15195","1.26000"
"0.02088","0.15792","1.28000"
"0.02119","0.16361","1.30000"
"0.02155","0.17004","1.32000"
"0.02192","0.17685","1.34000"
"0.02224","0.18399","1.36000"
"0.02248","0.19086","1.38000"
"0.02269","0.19664","1.40000"
"0.02291","0.20118","1.42000"
"0.02317","0.20559","1.44000"
"0.02348","0.21057","1.46000"
"0.02384","0.21697","1.48000"
"0.02428","0.22480","1.50000"
"0.02477","0.23385","1.52000"
"0.02526","0.24411","1.54000"
"0.02572","0.25461","1.56000"
"0.02613","0.26499","1.58000"
"0.02649","0.27442","1.60000"
"0.02680","0.28276","1.62000"
"0.02706","0.28991","1.64000"
"0.02728","0.29610","1.66000"
"0.02750","0.30154","1.68000"
"0.02771","0.30636","1.70000"
"0.02794","0.31112","1.72000"
"0.02820","0.31621","1.74000"
"0.02852","0.32194","1.76000"
"0.02890","0.32914","1.78000"
"0.02937","0.33798","1.80000"
"0.02988","0.34864","1.82000"
"0.03033","0.36044","1.84000"
"0.03065","0.37138","1.86000"
"0.03093","0.38024","1.88000"
"0.03121","0.38732","1.90000"
"0.03154","0.39406","1.92000"
"0.03192","0.40181","1.94000"
"0.03227","0.41056","1.96000"
"0.03254","0.41919","1.98000"
"0.03275","0.42668","2.00000"
"0.03296","0.43271","2.02000"
"0.03321","0.43790","2.04000"
"0.03349","0.44385","2.06000"
"0.03383","0.45104","2.08000"
"0.03423","0.45974","2.10000"
"0.03468","0.46992","2.12000"
"0.03516","0.48156","2.14000"
"0.03565","0.49453","2.16000"
"0.03609","0.50771","2.18000"
"0.03648","0.52018","2.20000"
"0.03681","0.53166","2.22000"
"0.03710","0.54163","2.24000"
"0.03735","0.54985","2.26000"
"0.03758","0.55732","2.28000"
"0.03779","0.56420","2.30000"
"0.03800","0.57053","2.32000"
"0.03825","0.57688","2.34000"
"0.03853","0.58395","2.36000"
"0.03886","0.59204","2.38000"
"0.03927","0.60210","2.40000"
"0.03976","0.61441","2.42000"
"0.04025","0.62909","2.44000"
"0.04066","0.64455","2.46000"
"0.04097","0.65852","2.48000"
"0.04124","0.66972","2.50000"
"0.04153","0.67903","2.52000"
"0.04187","0.68856","2.54000"
"0.04223","0.69919","2.56000"
"0.04257","0.71088","2.58000"
"0.04283","0.72209","2.60000"
"0.04304","0.73165","2.62000"
"0.04326","0.73958","2.64000"
"0.04352","0.74694","2.66000"
"0.04382","0.75532","2.68000"
"0.04417","0.76516","2.70000"
"0.04459","0.77721","2.72000"
"0.04507","0.79148","2.74000"
"0.04556","0.80811","2.76000"
"0.04602","0.82576","2.78000"
"0.04644","0.84314","2.80000"
"0.04682","0.85874","2.82000"
"0.04716","0.87304","2.84000"
"0.04744","0.88564","2.86000"
"0.04768","0.89606","2.88000"
"0.04789","0.90522","2.90000"
"0.04808","0.91308","2.92000"
"0.04830","0.92009","2.94000"
"0.04855","0.92770","2.96000"
"0.04886","0.93672","2.98000"
"0.04923","0.94776","3.00000"
"0.04968","0.96176","3.02000"
"0.05016","0.97857","3.04000"
"0.05060","0.99733","3.06000"
"0.05096","1.01546","3.08000"
"0.05124","1.03029","3.10000"
"0.05152","1.04227","3.12000"
"0.05183","1.05361","3.14000"
"0.05218","1.06578","3.16000"
"0.05253","1.07947","3.18000"
"0.05285","1.09345","3.20000"
"0.05310","1.10634","3.22000"
"0.05332","1.11747","3.24000"
"0.05355","1.12653","3.26000"
"0.05382","1.13601","3.28000"
"0.05414","1.14685","3.30000"
"0.05453","1.15970","3.32000"
"0.05497","1.17556","3.34000"
"0.05545","1.19412","3.36000"
"0.05594","1.21458","3.38000"
"0.05640","1.23599","3.40000"
"0.05682","1.25661","3.42000"
