Time measurement,Displacement,Primary force measurement,Strain 1
(s),(mm),(N),(%)
"0.00000","0.00000","0.00625","-0.0002"
"0.02000","0.00027","0.13961","-0.0003"
"0.04000","0.00176","1.66035","-0.0004"
"0.06000","0.00484","10.00240","-0.0007"
"0.08000","0.00697","28.25272","-0.0008"
"0.10000","0.00928","47.53526","0.0000"
"0.12000","0.01262","67.19410","0.0009"
"0.14000","0.01661","92.31044","0.0017"
"0.16000","0.02062","122.80289","0.0030"
"0.18000","0.02436","154.60545","0.0047"
"0.20000","0.02788","183.65044","0.0061"
"0.22000","0.03128","208.90350","0.0075"
"0.24000","0.03464","230.79268","0.0088"
"0.26000","0.03804","250.13269","0.0100"
"0.28000","0.04143","267.44949","0.0116"
"0.30000","0.04479","282.52927","0.0133"
"0.32000","0.04818","296.43588","0.0147"
"0.34000","0.05153","309.31406","0.0163"
"0.36000","0.05485","321.40518","0.0181"
"0.38000","0.05822","332.88336","0.0199"
"0.40000","0.06155","343.84979","0.0217"
"0.42000","0.06485","354.19489","0.0237"
"0.44000","0.06818","364.12674","0.0257"
"0.46000","0.07149","373.35394","0.0277"
"0.48000","0.07478","381.77115","0.0297"
"0.50000","0.07813","389.31140","0.0320"
"0.52000","0.08146","396.35406","0.0342"
"0.54000","0.08480","402.61511","0.0363"
"0.56000","0.08820","408.37839","0.0384"
"0.58000","0.09152","413.51657","0.0407"
"0.60000","0.09484","418.36569","0.0429"
"0.62000","0.09822","422.84280","0.0452"
"0.64000","0.10155","427.00854","0.0477"
"0.66000","0.10485","430.77072","0.0503"
"0.68000","0.10821","434.26672","0.0531"
"0.70000","0.11151","437.53516","0.0564"
"0.72000","0.11482","440.60284","0.0600"
"0.74000","0.11819","443.34567","0.0637"
"0.76000","0.12151","445.96722","0.0677"
"0.78000","0.12480","448.35135","0.0716"
"0.80000","0.12816","450.76474","0.0755"
"0.82000","0.13148","452.98538","0.0797"
"0.84000","0.13478","455.38443","0.0840"
"0.86000","0.13816","457.45825","0.0885"
"0.88000","0.14153","459.54871","0.0929"
"0.90000","0.14485","461.37799","0.0972"
"0.92000","0.14821","463.05539","0.1016"
"0.94000","0.15156","465.37030","0.1061"
"0.96000","0.15484","467.36530","0.1106"
"0.98000","0.15816","469.28107","0.1152"
"1.00000","0.16152","471.07217","0.1197"
"1.02000","0.16482","473.17059","0.1244"
"1.04000","0.16814","474.87817","0.1292"
"1.06000","0.17151","476.43982","0.1339"
"1.08000","0.17485","478.07404","0.1388"
"1.10000","0.17817","479.60529","0.1436"
"1.12000","0.18153","481.28589","0.1481"
"1.14000","0.18484","482.96487","0.1528"
"1.16000","0.18816","484.63425","0.1573"
"1.18000","0.19154","486.25168","0.1618"
"1.20000","0.19487","487.51297","0.1664"
"1.22000","0.19817","488.84042","0.1709"
"1.24000","0.20151","490.49362","0.1755"
"1.26000","0.20482","492.19351","0.1800"
"1.28000","0.20812","493.78275","0.1846"
"1.30000","0.21149","495.26639","0.1891"
"1.32000","0.21485","496.74780","0.1937"
"1.34000","0.21818","498.04556","0.1982"
"1.36000","0.22154","499.49033","0.2027"
"1.38000","0.22488","500.81262","0.2072"
"1.40000","0.22820","502.18649","0.2116"
"1.42000","0.23156","503.46506","0.2158"
"1.44000","0.23488","504.85413","0.2200"
"1.46000","0.23817","506.34387","0.2243"
"1.48000","0.24151","507.96246","0.2285"
"1.50000","0.24484","509.27890","0.2327"
"1.52000","0.24814","510.48669","0.2370"
"1.54000","0.25149","512.01270","0.2413"
"1.56000","0.25484","513.44257","0.2455"
"1.58000","0.25817","514.88275","0.2498"
"1.60000","0.26153","516.20001","0.2541"
"1.62000","0.26487","517.63354","0.2583"
"1.64000","0.26820","518.88971","0.2625"
"1.66000","0.27157","520.13727","0.2667"
"1.68000","0.27491","521.70947","0.2708"
"1.70000","0.27823","523.09528","0.2747"
"1.72000","0.28158","524.27094","0.2787"
"1.74000","0.28488","525.46985","0.2828"
"1.76000","0.28816","526.74658","0.2868"
"1.78000","0.29150","527.97760","0.2909"
"1.80000","0.29481","529.35071","0.2950"
"1.82000","0.29813","530.75812","0.2989"
"1.84000","0.30151","532.21692","0.3029"
"1.86000","0.30483","533.40942","0.3070"
"1.88000","0.30816","534.48273","0.3110"
"1.90000","0.31153","535.68597","0.3151"
"1.92000","0.31485","536.92316","0.3190"
"1.94000","0.31818","538.02271","0.3229"
"1.96000","0.32154","539.42914","0.3267"
"1.98000","0.32488","540.60980","0.3305"
"2.00000","0.32820","541.65442","0.3345"
"2.02000","0.33154","542.75385","0.3385"
"2.04000","0.33488","544.04108","0.3424"
"2.06000","0.33817","545.24390","0.3463"
"2.08000","0.34148","546.30731","0.3502"
"2.10000","0.34483","547.36554","0.3539"
"2.12000","0.34815","548.56805","0.3577"
"2.14000","0.35148","549.72546","0.3618"
"2.16000","0.35486","550.91803","0.3656"
"2.18000","0.35819","552.07477","0.3695"
"2.20000","0.36151","553.13959","0.3733"
"2.22000","0.36490","554.31458","0.3769"
"2.24000","0.36822","555.54999","0.3807"
"2.26000","0.37153","556.40601","0.3848"
"2.28000","0.37491","557.51489","0.3888"
"2.30000","0.37822","558.78668","0.3926"
"2.32000","0.38148","559.69629","0.3966"
"2.34000","0.38484","560.77161","0.4002"
"2.36000","0.38818","561.82141","0.4039"
"2.38000","0.39148","562.81573","0.4078"
"2.40000","0.39485","563.92963","0.4117"
"2.42000","0.39819","565.14233","0.4155"
"2.44000","0.40149","566.35516","0.4194"
"2.46000","0.40487","567.43317","0.4232"
"2.48000","0.40821","568.32947","0.4270"
"2.50000","0.41153","569.24487","0.4308"
"2.52000","0.41489","570.24835","0.4345"
"2.54000","0.41822","571.19501","0.4384"
"2.56000","0.42149","572.44745","0.4420"
"2.58000","0.42484","573.46350","0.4457"
"2.60000","0.42819","574.43579","0.4493"
"2.62000","0.43150","575.54303","0.4527"
"2.64000","0.43486","576.58313","0.4564"
"2.66000","0.43820","577.55145","0.4604"
"2.68000","0.44152","578.28333","0.4642"
"2.70000","0.44487","578.92694","0.4680"
"2.72000","0.44819","580.18628","0.4717"
"2.74000","0.45150","581.26733","0.4753"
"2.76000","0.45485","582.17212","0.4789"
