Time measurement,Displacement,Primary force measurement,Strain 1
(s),(mm),(N),(%)
"0.00000","0.00000","-0.13355","0.0007"
"0.02000","0.00032","-0.25558","0.0007"
"0.04000","0.00209","1.73332","0.0008"
"0.06000","0.00522","11.93700","0.0014"
"0.08000","0.00729","32.18935","0.0027"
"0.10000","0.00963","53.15628","0.0040"
"0.12000","0.01301","74.70996","0.0052"
"0.14000","0.01703","101.76022","0.0069"
"0.16000","0.02100","133.40547","0.0090"
"0.18000","0.02477","164.96635","0.0109"
"0.20000","0.02828","193.58536","0.0127"
"0.22000","0.03164","218.18292","0.0143"
"0.24000","0.03504","239.47733","0.0156"
"0.26000","0.03844","259.39880","0.0169"
"0.28000","0.04180","278.63095","0.0181"
"0.30000","0.04520","297.04623","0.0193"
"0.32000","0.04856","315.38217","0.0205"
"0.34000","0.05188","333.66312","0.0216"
"0.36000","0.05525","351.43796","0.0228"
"0.38000","0.05858","369.18927","0.0239"
"0.40000","0.06188","386.89157","0.0251"
"0.42000","0.06522","404.51303","0.0263"
"0.44000","0.06855","422.24097","0.0275"
"0.46000","0.07187","439.76501","0.0287"
"0.48000","0.07522","457.10333","0.0299"
"0.50000","0.07855","474.36847","0.0311"
"0.52000","0.08186","491.50363","0.0323"
"0.54000","0.08522","508.53482","0.0334"
"0.56000","0.08856","525.35040","0.0346"
"0.58000","0.09190","542.29938","0.0357"
"0.60000","0.09527","559.00647","0.0368"
"0.62000","0.09862","575.75720","0.0380"
"0.64000","0.10194","592.43262","0.0392"
"0.66000","0.10528","609.23456","0.0402"
"0.68000","0.10859","625.61810","0.0414"
"0.70000","0.11191","642.20331","0.0426"
"0.72000","0.11525","658.45300","0.0437"
"0.74000","0.11860","674.75269","0.0448"
"0.76000","0.12194","691.05890","0.0459"
"0.78000","0.12526","707.09967","0.0471"
"0.80000","0.12858","723.27350","0.0482"
"0.82000","0.13188","739.15002","0.0492"
"0.84000","0.13520","754.87054","0.0504"
"0.86000","0.13855","770.43488","0.0515"
"0.88000","0.14189","786.08289","0.0526"
"0.90000","0.14524","801.87610","0.0538"
"0.92000","0.14860","817.66748","0.0551"
"0.94000","0.15191","833.56500","0.0562"
"0.96000","0.15521","849.12787","0.0573"
"0.98000","0.15855","864.46106","0.0584"
"1.00000","0.16187","879.87817","0.0595"
"1.02000","0.16521","895.05145","0.0607"
"1.04000","0.16858","910.24597","0.0618"
"1.06000","0.17191","925.88550","0.0629"
"1.08000","0.17523","940.81030","0.0640"
"1.10000","0.17860","955.37164","0.0652"
"1.12000","0.18191","970.08844","0.0664"
"1.14000","0.18522","984.62860","0.0675"
"1.16000","0.18858","999.48535","0.0686"
"1.18000","0.19188","1014.57208","0.0697"
"1.20000","0.19519","1029.26245","0.0708"
"1.22000","0.19857","1043.87695","0.0719"
"1.24000","0.20189","1058.67883","0.0731"
"1.26000","0.20520","1073.12012","0.0742"
