Time measurement,Displacement,Primary force measurement,Strain 1
(s),(mm),(N),(%)
"0.00000","0.00000","-1.11002","0.0006"
"0.02000","0.00026","-1.13089","0.0006"
"0.04000","0.00181","0.66823","0.0004"
"0.06000","0.00495","10.09520","0.0010"
"0.08000","0.00701","30.29442","0.0021"
"0.10000","0.00929","51.42490","0.0032"
"0.12000","0.01267","73.05355","0.0043"
"0.14000","0.01669","100.13211","0.0060"
"0.16000","0.02072","132.61723","0.0078"
"0.18000","0.02451","165.19162","0.0098"
"0.20000","0.02804","194.52168","0.0116"
"0.22000","0.03144","219.62584","0.0132"
"0.24000","0.03482","242.39642","0.0146"
"0.26000","0.03819","264.08408","0.0161"
"0.28000","0.04152","285.61725","0.0175"
"0.30000","0.04485","306.43900","0.0192"
"0.32000","0.04819","327.21484","0.0204"
"0.34000","0.05153","347.28012","0.0218"
"0.36000","0.05490","367.48749","0.0236"
"0.38000","0.05827","387.87839","0.0247"
"0.40000","0.06159","407.59827","0.0262"
"0.42000","0.06490","426.67538","0.0280"
"0.44000","0.06826","445.78528","0.0291"
"0.46000","0.07159","464.83505","0.0306"
"0.48000","0.07493","483.37827","0.0322"
"0.50000","0.07832","501.96344","0.0337"
"0.52000","0.08165","520.64734","0.0351"
"0.54000","0.08496","539.16876","0.0367"
"0.56000","0.08831","557.59552","0.0383"
"0.58000","0.09161","575.87012","0.0397"
"0.60000","0.09491","594.00342","0.0411"
"0.62000","0.09826","611.94342","0.0425"
"0.64000","0.10158","629.99036","0.0439"
"0.66000","0.10488","647.87012","0.0455"
"0.68000","0.10826","665.41071","0.0470"
"0.70000","0.11161","682.99414","0.0486"
"0.72000","0.11493","700.79803","0.0508"
"0.74000","0.11831","718.23059","0.0547"
"0.76000","0.12164","735.04724","0.0577"
"0.78000","0.12495","752.01215","0.0593"
"0.80000","0.12831","768.96405","0.0605"
"0.82000","0.13164","786.08264","0.0620"
"0.84000","0.13491","803.00970","0.0634"
"0.86000","0.13826","819.46954","0.0647"
"0.88000","0.14160","835.85254","0.0662"
"0.90000","0.14489","852.14282","0.0677"
"0.92000","0.14822","868.62128","0.0692"
"0.94000","0.15155","884.87909","0.0706"
"0.96000","0.15485","900.90259","0.0722"
"0.98000","0.15821","916.93762","0.0737"
"1.00000","0.16158","933.03912","0.0751"
"1.02000","0.16494","948.72937","0.0767"
"1.04000","0.16830","964.25085","0.0783"
"1.06000","0.17165","979.62561","0.0799"
"1.08000","0.17494","995.09302","0.0815"
"1.10000","0.17824","1010.25452","0.0830"
"1.12000","0.18157","1024.90283","0.0848"
"1.14000","0.18489","1040.07910","0.0865"
"1.16000","0.18824","1055.40332","0.0881"
"1.18000","0.19160","1070.10999","0.0901"
"1.20000","0.19494","1085.15393","0.0917"
"1.22000","0.19825","1099.65405","0.0930"
"1.24000","0.20158","1114.06396","0.0949"
"1.26000","0.20491","1128.55835","0.0966"
"1.28000","0.20825","1142.60303","0.0982"
"1.30000","0.21161","1156.54614","0.0999"
"1.32000","0.21494","1170.44202","0.1015"
"1.34000","0.21827","1184.29443","0.1030"
"1.36000","0.22161","1197.93518","0.1046"
"1.38000","0.22493","1211.22388","0.1062"
"1.40000","0.22824","1224.37488","0.1079"
"1.42000","0.23159","1237.95715","0.1096"
"1.44000","0.23493","1251.13757","0.1111"
"1.46000","0.23825","1263.69666","0.1126"
"1.48000","0.24160","1276.33826","0.1142"
"1.50000","0.24495","1289.26587","0.1155"
"1.52000","0.24827","1301.69592","0.1171"
"1.54000","0.25162","1313.89673","0.1188"
"1.56000","0.25494","1326.05518","0.1202"
"1.58000","0.25826","1337.25708","0.1219"
"1.60000","0.26160","1348.56604","0.1236"
"1.62000","0.26491","1360.63647","0.1248"
"1.64000","0.26823","1372.18848","0.1266"
"1.66000","0.27160","1383.38855","0.1283"
"1.68000","0.27491","1394.78784","0.1295"
"1.70000","0.27824","1405.69043","0.1310"
"1.72000","0.28162","1416.42395","0.1325"
"1.74000","0.28494","1427.10986","0.1340"
"1.76000","0.28826","1437.62280","0.1354"
"1.78000","0.29163","1447.89502","0.1371"
"1.80000","0.29494","1458.28296","0.1388"
"1.82000","0.29827","1468.17212","0.1402"
"1.84000","0.30165","1477.73218","0.1416"
"1.86000","0.30494","1487.05029","0.1430"
"1.88000","0.30823","1496.40051","0.1444"
"1.90000","0.31159","1505.45422","0.1457"
"1.92000","0.31490","1514.85681","0.1470"
"1.94000","0.31821","1523.82629","0.1485"
"1.96000","0.32159","1532.79102","0.1498"
"1.98000","0.32495","1541.83032","0.1511"
"2.00000","0.32827","1550.26758","0.1528"
"2.02000","0.33163","1558.68420","0.1541"
"2.04000","0.33497","1567.35315","0.1553"
"2.06000","0.33827","1575.27490","0.1569"
"2.08000","0.34163","1582.94043","0.1584"
"2.10000","0.34500","1590.69324","0.1597"
"2.12000","0.34831","1598.25012","0.1613"
"2.14000","0.35164","1605.68335","0.1627"
"2.16000","0.35497","1613.12683","0.1638"
"2.18000","0.35827","1620.55713","0.1650"
"2.20000","0.36158","1627.52063","0.1664"
"2.22000","0.36493","1634.36963","0.1676"
"2.24000","0.36824","1641.06689","0.1688"
"2.26000","0.37156","1647.68896","0.1700"
"2.28000","0.37492","1654.05212","0.1714"
"2.30000","0.37828","1660.51855","0.1726"
"2.32000","0.38160","1667.03833","0.1738"
"2.34000","0.38495","1673.10559","0.1751"
"2.36000","0.38830","1678.80261","0.1765"
"2.38000","0.39161","1684.72021","0.1774"
"2.40000","0.39495","1690.50903","0.1785"
"2.42000","0.39828","1695.91357","0.1800"
"2.44000","0.40157","1701.94153","0.1808"
"2.46000","0.40492","1707.47241","0.1821"
"2.48000","0.40827","1712.81714","0.1835"
"2.50000","0.41157","1718.21289","0.1846"
"2.52000","0.41493","1723.31689","0.1859"
"2.54000","0.41827","1728.57886","0.1873"
"2.56000","0.42157","1733.78320","0.1886"
"2.58000","0.42493","1738.77966","0.1898"
"2.60000","0.42827","1743.47351","0.1919"
"2.62000","0.43162","1748.11414","0.1939"
"2.64000","0.43499","1752.82288","0.1952"
"2.66000","0.43833","1757.27771","0.1965"
"2.68000","0.44164","1761.65479","0.1976"
"2.70000","0.44498","1766.06287","0.1989"
"2.72000","0.44828","1770.49622","0.2003"
"2.74000","0.45158","1774.98254","0.2014"
"2.76000","0.45495","1779.52722","0.2028"
"2.78000","0.45829","1783.77832","0.2043"
"2.80000","0.46163","1788.11365","0.2056"
"2.82000","0.46499","1792.10437","0.2071"
"2.84000","0.46831","1795.96509","0.2085"
"2.86000","0.47162","1799.77100","0.2096"
"2.88000","0.47497","1803.20032","0.2112"
"2.90000","0.47828","1807.20630","0.2126"
"2.92000","0.48160","1810.97412","0.2138"
"2.94000","0.48498","1814.51538","0.2151"
"2.96000","0.48830","1818.39685","0.2164"
"2.98000","0.49159","1822.15344","0.2178"
"3.00000","0.49494","1825.79370","0.2192"
"3.02000","0.49827","1829.45056","0.2206"
"3.04000","0.50159","1833.02197","0.2221"
"3.06000","0.50496","1836.54895","0.2236"
"3.08000","0.50832","1840.03784","0.2251"
"3.10000","0.51165","1843.22815","0.2265"
"3.12000","0.51500","1846.56396","0.2280"
"3.14000","0.51832","1849.96838","0.2296"
"3.16000","0.52161","1852.91064","0.2311"
"3.18000","0.52494","1855.79993","0.2330"
"3.20000","0.52829","1859.08862","0.2344"
"3.22000","0.53159","1862.10999","0.2360"
"3.24000","0.53492","1865.20520","0.2380"
"3.26000","0.53828","1868.80212","0.2396"
"3.28000","0.54160","1872.13013","0.2414"
"3.30000","0.54491","1874.93787","0.2434"
"3.32000","0.54829","1877.97339","0.2452"
"3.34000","0.55162","1880.97839","0.2469"
"3.36000","0.55492","1883.60754","0.2487"
"3.38000","0.55830","1886.33423","0.2504"
"3.40000","0.56163","1889.16138","0.2520"
"3.42000","0.56493","1891.64246","0.2536"
"3.44000","0.56832","1894.39246","0.2554"
"3.46000","0.57165","1897.43176","0.2573"
"3.48000","0.57493","1900.29895","0.2593"
"3.50000","0.57827","1902.95911","0.2611"
"3.52000","0.58157","1905.64880","0.2632"
"3.54000","0.58484","1908.56909","0.2655"
"3.56000","0.58820","1911.50684","0.2678"
"3.58000","0.59157","1914.21729","0.2702"
"3.60000","0.59490","1916.71790","0.2725"
"3.62000","0.59828","1919.40796","0.2743"
"3.64000","0.60162","1921.26831","0.2766"
"3.66000","0.60493","1923.57642","0.2789"
"3.68000","0.60830","1926.34033","0.2807"
"3.70000","0.61164","1928.77795","0.2830"
"3.72000","0.61496","1931.09570","0.2853"
"3.74000","0.61832","1933.45605","0.2876"
"3.76000","0.62163","1936.02307","0.2900"
"3.78000","0.62492","1938.60425","0.2925"
"3.80000","0.62826","1940.83044","0.2950"
"3.82000","0.63157","1943.22424","0.2976"
"3.84000","0.63489","1945.51196","0.3003"
"3.86000","0.63826","1947.58435","0.3028"
"3.88000","0.64161","1949.95520","0.3056"
"3.90000","0.64494","1952.27502","0.3083"
"3.92000","0.64831","1954.25989","0.3111"
"3.94000","0.65164","1956.25757","0.3140"
"3.96000","0.65497","1958.19287","0.3169"
"3.98000","0.65833","1960.14880","0.3197"
"4.00000","0.66165","1962.33911","0.3227"
"4.02000","0.66496","1964.70544","0.3257"
"4.04000","0.66832","1966.83069","0.3287"
"4.06000","0.67164","1968.47131","0.3323"
"4.08000","0.67497","1970.27454","0.3355"
"4.10000","0.67832","1972.30786","0.3387"
"4.12000","0.68164","1974.09521","0.3424"
"4.14000","0.68494","1975.77271","0.3459"
"4.16000","0.68827","1977.35303","0.3492"
"4.18000","0.69159","1979.11194","0.3527"
"4.20000","0.69491","1980.81824","0.3561"
"4.22000","0.69828","1982.56970","0.3591"
"4.24000","0.70164","1984.35950","0.3625"
"4.26000","0.70496","1985.78833","0.3663"
"4.28000","0.70830","1987.77856","0.3699"
"4.30000","0.71163","1989.50818","0.3739"
"4.32000","0.71493","1990.87183","0.3780"
"4.34000","0.71825","1992.42273","0.3817"
"4.36000","0.72161","1994.21143","0.3856"
"4.38000","0.72494","1995.94727","0.3895"
"4.40000","0.72827","1997.22107","0.3935"
"4.42000","0.73164","1998.49402","0.3978"
"4.44000","0.73497","1999.63208","0.4017"
"4.46000","0.73827","2000.70642","0.4060"
"4.48000","0.74163","2001.93884","0.4107"
