Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","0.24396"
"0.02000","0.00853","0.37248"
"0.04000","0.05089","2.46524"
"0.06000","0.11934","8.73330"
"0.08000","0.18310","17.72058"
"0.10000","0.24642","27.30398"
"0.12000","0.31223","36.69699"
"0.14000","0.38010","45.50198"
"0.16000","0.44863","53.80224"
"0.18000","0.51631","61.93183"
"0.20000","0.58324","70.06905"
"0.22000","0.65011","77.47807"
"0.24000","0.71673","84.56219"
"0.26000","0.78326","91.63245"
"0.28000","0.85014","98.62783"
"0.30000","0.91700","105.38092"
"0.32000","0.98353","111.90782"
"0.34000","1.05028","118.56350"
"0.36000","1.11709","124.81818"
"0.38000","1.18360","130.85210"
"0.40000","1.25024","136.74303"
"0.42000","1.31709","142.56007"
"0.44000","1.38365","148.29608"
"0.46000","1.45021","154.04129"
"0.48000","1.51708","159.69273"
"0.50000","1.58372","165.03738"
"0.52000","1.65022","170.61479"
"0.54000","1.71700","175.97061"
"0.56000","1.78373","181.31221"
"0.58000","1.85025","186.29756"
"0.60000","1.91704","191.31624"
"0.62000","1.98380","196.26201"
"0.64000","2.05028","200.90810"
"0.66000","2.11694","205.74760"
"0.68000","2.18377","210.69566"
"0.70000","2.25027","215.08777"
"0.72000","2.31688","219.75002"
"0.74000","2.38373","224.27698"
"0.76000","2.45034","228.62549"
"0.78000","2.51689","233.06978"
"0.80000","2.58374","237.44460"
"0.82000","2.65038","241.51190"
"0.84000","2.71689","245.29572"
"0.86000","2.78369","249.45959"
"0.88000","2.85044","253.53165"
"0.90000","2.91691","257.49466"
"0.92000","2.98367","261.36664"
"0.94000","3.05044","265.28552"
"0.96000","3.11694","269.05234"
"0.98000","3.18360","272.98755"
"1.00000","3.25044","276.69547"
"1.02000","3.31694","280.62073"
"1.04000","3.38356","284.29153"
"1.06000","3.45042","287.78452"
"1.08000","3.51703","291.17102"
"1.10000","3.58355","294.77258"
"1.12000","3.65039","297.99698"
"1.14000","3.71705","301.42126"
"1.16000","3.78355","305.00156"
"1.18000","3.85033","307.98996"
"1.20000","3.91708","311.02606"
"1.22000","3.98355","314.06161"
"1.24000","4.05029","317.19183"
"1.26000","4.11710","320.47156"
"1.28000","4.18361","323.36035"
"1.30000","4.25025","326.41928"
"1.32000","4.31712","329.49609"
"1.34000","4.38369","332.24921"
"1.36000","4.45027","335.13571"
"1.38000","4.51711","338.09503"
"1.40000","4.58372","340.91537"
"1.42000","4.65021","343.74829"
"1.44000","4.71703","346.48938"
"1.46000","4.78371","349.06470"
"1.48000","4.85019","351.56006"
"1.50000","4.91695","354.07486"
"1.52000","4.98375","356.62946"
"1.54000","5.05025","359.20633"
"1.56000","5.11697","361.67050"
"1.58000","5.18379","363.87112"
"1.60000","5.25031","366.03250"
"1.62000","5.31691","368.23138"
"1.64000","5.38376","370.73398"
"1.66000","5.45033","372.84024"
"1.68000","5.51687","375.26147"
"1.70000","5.58372","377.63077"
"1.72000","5.65038","379.86472"
"1.74000","5.71689","382.16449"
"1.76000","5.78372","384.06973"
"1.78000","5.85043","386.14124"
"1.80000","5.91691","388.39664"
"1.82000","5.98365","390.44070"
"1.84000","6.05045","392.61221"
"1.86000","6.11693","394.71146"
"1.88000","6.18361","396.70984"
"1.90000","6.25044","398.34863"
"1.92000","6.31697","399.88434"
"1.94000","6.38357","401.72952"
"1.96000","6.45042","403.66083"
"1.98000","6.51701","405.62894"
"2.00000","6.58354","407.61600"
"2.02000","6.65042","408.98911"
"2.04000","6.71708","410.70526"
"2.06000","6.78357","412.88458"
"2.08000","6.85036","414.36264"
"2.10000","6.91711","415.84204"
"2.12000","6.98357","417.65100"
"2.14000","7.05030","419.31866"
"2.16000","7.11707","420.92783"
"2.18000","7.18359","422.39929"
"2.20000","7.25026","424.10608"
"2.22000","7.31713","425.36011"
"2.24000","7.38367","426.73993"
"2.26000","7.45026","428.42664"
"2.28000","7.51709","429.54367"
"2.30000","7.58372","430.97568"
"2.32000","7.65022","432.51306"
"2.34000","7.71705","433.75180"
"2.36000","7.78372","435.05719"
"2.38000","7.85021","436.24261"
"2.40000","7.91698","437.44751"
"2.42000","7.98376","438.97781"
"2.44000","8.05023","440.31708"
"2.46000","8.11694","441.40067"
"2.48000","8.18377","442.58734"
"2.50000","8.25033","443.82269"
"2.52000","8.31695","444.99142"
"2.54000","8.38382","446.04776"
"2.56000","8.45036","447.12219"
"2.58000","8.51689","448.16855"
"2.60000","8.58370","449.22549"
"2.62000","8.65036","450.40161"
"2.64000","8.71685","451.48193"
"2.66000","8.78369","452.48245"
"2.68000","8.85043","453.60480"
"2.70000","8.91691","454.67886"
"2.72000","8.98365","455.63458"
"2.74000","9.05044","456.71793"
"2.76000","9.11690","457.57791"
"2.78000","9.18359","458.24051"
"2.80000","9.25042","459.65570"
"2.82000","9.31696","460.56973"
"2.84000","9.38357","461.25217"
"2.86000","9.45044","462.21329"
"2.88000","9.51704","463.15369"
"2.90000","9.58358","463.68735"
"2.92000","9.65039","464.34830"
"2.94000","9.71704","465.16504"
"2.96000","9.78351","466.13281"
"2.98000","9.85035","466.61716"
"3.00000","9.91710","467.24332"
"3.02000","9.98358","468.12271"
"3.04000","10.05031","468.75140"
"3.06000","10.11711","469.24805"
"3.08000","10.18360","470.19165"
"3.10000","10.25026","470.89337"
"3.12000","10.31708","471.55325"
"3.14000","10.38364","472.41803"
"3.16000","10.45023","473.14493"
"3.18000","10.51711","473.87247"
"3.20000","10.58371","474.32248"
"3.22000","10.65021","474.77121"
"3.24000","10.71703","475.35828"
"3.26000","10.78373","475.84818"
"3.28000","10.85023","476.56628"
"3.30000","10.91702","477.12918"
"3.32000","10.98379","477.70786"
"3.34000","11.05027","478.49509"
"3.36000","11.11697","479.05365"
"3.38000","11.18378","479.32858"
"3.40000","11.25029","479.93649"
"3.42000","11.31689","480.31937"
"3.44000","11.38375","480.66537"
"3.46000","11.45033","481.09796"
"3.48000","11.51691","481.72433"
"3.50000","11.58376","482.19891"
"3.52000","11.65042","482.60629"
"3.54000","11.71689","483.23291"
"3.56000","11.78371","483.56528"
"3.58000","11.85044","483.69965"
"3.60000","11.91691","484.06366"
"3.62000","11.98364","484.65482"
"3.64000","12.05045","484.86008"
"3.66000","12.11693","485.32770"
"3.68000","12.18362","485.59290"
"3.70000","12.25043","486.05417"
"3.72000","12.31697","486.35318"
"3.74000","12.38357","486.80701"
