Time measurement,Displacement,Primary force measurement,Strain 1
(s),(mm),(N),(%)
"0.00000","0.00000","-0.58207","-0.0015"
"0.02000","0.00024","-0.58245","-0.0015"
"0.04000","0.00171","-0.57346","-0.0016"
"0.06000","0.00478","-0.40902","-0.0013"
"0.08000","0.00689","-0.26102","-0.0002"
"0.10000","0.00916","-0.45168","0.0013"
"0.12000","0.01249","-0.46095","0.0030"
"0.14000","0.01654","-0.32132","0.0047"
"0.16000","0.02057","-0.20997","0.0069"
"0.18000","0.02438","0.05657","0.0095"
"0.20000","0.02792","0.13337","0.0124"
"0.22000","0.03127","0.20461","0.0149"
"0.24000","0.03465","0.23654","0.0170"
"0.26000","0.03801","0.52646","0.0189"
"0.28000","0.04135","0.95010","0.0210"
"0.30000","0.04474","1.17916","0.0231"
"0.32000","0.04809","1.18929","0.0250"
"0.34000","0.05140","1.21904","0.0266"
"0.36000","0.05474","1.49744","0.0283"
"0.38000","0.05807","1.73113","0.0302"
"0.40000","0.06138","1.91083","0.0321"
"0.42000","0.06475","1.91682","0.0339"
"0.44000","0.06810","1.88050","0.0357"
"0.46000","0.07142","1.95415","0.0378"
"0.48000","0.07478","2.19000","0.0401"
"0.50000","0.07811","2.37124","0.0424"
"0.52000","0.08144","2.36406","0.0446"
"0.54000","0.08479","2.30409","0.0468"
"0.56000","0.08815","2.73035","0.0493"
"0.58000","0.09148","3.04056","0.0519"
"0.60000","0.09483","3.22296","0.0545"
"0.62000","0.09812","3.15043","0.0568"
"0.64000","0.10140","3.22367","0.0589"
"0.66000","0.10472","3.42403","0.0610"
"0.68000","0.10806","3.53267","0.0632"
"0.70000","0.11142","3.58656","0.0650"
"0.72000","0.11479","3.71403","0.0667"
"0.74000","0.11814","3.65485","0.0685"
"0.76000","0.12148","3.75373","0.0705"
"0.78000","0.12480","4.09065","0.0725"
"0.80000","0.12815","4.48313","0.0744"
"0.82000","0.13148","4.64042","0.0766"
"0.84000","0.13482","4.66733","0.0789"
"0.86000","0.13816","4.70388","0.0813"
"0.88000","0.14149","4.91087","0.0835"
"0.90000","0.14479","5.12946","0.0857"
"0.92000","0.14812","5.20162","0.0879"
"0.94000","0.15143","5.29298","0.0903"
"0.96000","0.15473","5.28686","0.0925"
"0.98000","0.15807","5.28574","0.0946"
"1.00000","0.16142","5.63774","0.0969"
"1.02000","0.16476","6.02094","0.0992"
"1.04000","0.16813","5.90793","0.1016"
"1.06000","0.17145","5.88014","0.1040"
"1.08000","0.17477","6.04533","0.1064"
"1.10000","0.17814","6.21527","0.1088"
"1.12000","0.18146","6.34611","0.1110"
"1.14000","0.18479","6.63735","0.1132"
"1.16000","0.18816","6.92009","0.1152"
"1.18000","0.19146","7.02018","0.1171"
"1.20000","0.19477","7.05266","0.1190"
"1.22000","0.19813","7.07074","0.1209"
"1.24000","0.20144","7.21964","0.1230"
"1.26000","0.20474","7.40484","0.1253"
"1.28000","0.20810","7.69763","0.1275"
"1.30000","0.21142","7.64188","0.1299"
"1.32000","0.21474","7.69146","0.1325"
"1.34000","0.21812","7.71375","0.1353"
"1.36000","0.22146","7.98635","0.1381"
"1.38000","0.22478","8.27101","0.1408"
"1.40000","0.22817","8.47040","0.1434"
"1.42000","0.23149","8.62981","0.1457"
"1.44000","0.23476","8.82585","0.1478"
"1.46000","0.23811","8.92037","0.1497"
"1.48000","0.24146","8.94432","0.1514"
"1.50000","0.24477","8.90726","0.1531"
"1.52000","0.24812","8.94993","0.1550"
"1.54000","0.25147","9.11409","0.1570"
"1.56000","0.25478","9.32083","0.1591"
"1.58000","0.25810","9.44429","0.1613"
"1.60000","0.26145","9.40774","0.1638"
"1.62000","0.26477","9.54216","0.1663"
"1.64000","0.26810","9.93478","0.1688"
"1.66000","0.27145","10.24692","0.1715"
"1.68000","0.27478","10.48444","0.1743"
"1.70000","0.27810","10.49170","0.1769"
"1.72000","0.28143","10.53088","0.1793"
"1.74000","0.28475","10.66530","0.1816"
"1.76000","0.28806","10.85322","0.1838"
"1.78000","0.29142","10.88648","0.1858"
"1.80000","0.29477","10.92374","0.1876"
"1.82000","0.29810","10.91784","0.1899"
"1.84000","0.30148","11.21883","0.1923"
"1.86000","0.30483","11.34131","0.1945"
"1.88000","0.30813","11.38240","0.1965"
"1.90000","0.31147","11.35472","0.1988"
"1.92000","0.31479","11.68833","0.2012"
"1.94000","0.31809","11.99543","0.2036"
"1.96000","0.32142","12.19916","0.2060"
"1.98000","0.32475","12.26111","0.2087"
"2.00000","0.32807","12.30103","0.2112"
"2.02000","0.33145","12.58748","0.2134"
"2.04000","0.33479","12.81851","0.2157"
"2.06000","0.33811","12.99820","0.2182"
"2.08000","0.34146","12.92065","0.2208"
"2.10000","0.34480","12.96129","0.2232"
"2.12000","0.34811","13.07430","0.2254"
"2.14000","0.35148","13.17827","0.2277"
"2.16000","0.35482","13.43865","0.2302"
"2.18000","0.35815","13.55806","0.2325"
"2.20000","0.36149","13.55046","0.2348"
"2.22000","0.36479","13.73486","0.2371"
"2.24000","0.36808","14.10147","0.2394"
"2.26000","0.37140","14.15921","0.2415"
"2.28000","0.37472","14.14232","0.2437"
"2.30000","0.37806","14.27748","0.2460"
"2.32000","0.38147","14.49630","0.2485"
"2.34000","0.38479","14.65822","0.2512"
"2.36000","0.38811","14.79941","0.2537"
"2.38000","0.39148","14.84982","0.2561"
"2.40000","0.39479","14.79263","0.2585"
"2.42000","0.39811","14.94665","0.2612"
"2.44000","0.40149","15.25099","0.2636"
"2.46000","0.40482","15.33615","0.2659"
"2.48000","0.40813","15.54869","0.2682"
