Time measurement,Displacement,Primary force measurement,Strain 1
(s),(mm),(N),(%)
"0.00000","0.00000","-12.44689","-0.0001"
"0.02000","0.00026","-12.38801","0.0000"
"0.04000","0.00171","-10.96636","0.0000"
"0.06000","0.00477","-0.87235","0.0005"
"0.08000","0.00673","20.47431","0.0016"
"0.10000","0.00900","42.10096","0.0029"
"0.12000","0.01238","63.55696","0.0041"
"0.14000","0.01643","89.97260","0.0055"
"0.16000","0.02054","121.46149","0.0072"
"0.18000","0.02436","153.54951","0.0090"
"0.20000","0.02790","182.77477","0.0106"
"0.22000","0.03130","208.62054","0.0121"
"0.24000","0.03464","232.21487","0.0135"
"0.26000","0.03798","254.25258","0.0148"
"0.28000","0.04135","275.54016","0.0159"
"0.30000","0.04470","295.98892","0.0171"
"0.32000","0.04803","315.70041","0.0181"
"0.34000","0.05140","334.82599","0.0191"
"0.36000","0.05474","353.09500","0.0202"
"0.38000","0.05807","370.71387","0.0212"
"0.40000","0.06144","387.87317","0.0222"
"0.42000","0.06479","404.55136","0.0231"
"0.44000","0.06812","420.26105","0.0240"
"0.46000","0.07148","435.78824","0.0248"
"0.48000","0.07481","450.83752","0.0256"
"0.50000","0.07811","465.35153","0.0265"
"0.52000","0.08146","479.56012","0.0273"
"0.54000","0.08477","493.92148","0.0282"
"0.56000","0.08808","508.07544","0.0290"
"0.58000","0.09144","522.11334","0.0298"
"0.60000","0.09477","535.79260","0.0306"
"0.62000","0.09809","548.86914","0.0313"
"0.64000","0.10147","561.72766","0.0320"
"0.66000","0.10480","574.71686","0.0327"
"0.68000","0.10813","587.32410","0.0335"
"0.70000","0.11149","600.01434","0.0342"
"0.72000","0.11481","612.62341","0.0349"
"0.74000","0.11814","624.57971","0.0356"
"0.76000","0.12152","636.70764","0.0363"
"0.78000","0.12483","649.31030","0.0370"
"0.80000","0.12811","661.75494","0.0377"
"0.82000","0.13145","674.05627","0.0384"
"0.84000","0.13476","686.44879","0.0390"
"0.86000","0.13807","698.92175","0.0398"
"0.88000","0.14146","710.89795","0.0404"
"0.90000","0.14480","723.18842","0.0411"
"0.92000","0.14811","735.77313","0.0418"
"0.94000","0.15149","748.11841","0.0425"
"0.96000","0.15482","760.48480","0.0433"
"0.98000","0.15812","772.83899","0.0439"
"1.00000","0.16151","784.82916","0.0446"
"1.02000","0.16485","797.03613","0.0453"
"1.04000","0.16814","809.48901","0.0460"
"1.06000","0.17148","821.75732","0.0467"
"1.08000","0.17482","834.28772","0.0474"
"1.10000","0.17812","846.72992","0.0482"
"1.12000","0.18145","858.85767","0.0489"
"1.14000","0.18478","871.53564","0.0495"
"1.16000","0.18808","884.25549","0.0503"
"1.18000","0.19141","896.38531","0.0510"
"1.20000","0.19478","908.79181","0.0517"
"1.22000","0.19813","921.56073","0.0525"
"1.24000","0.20145","934.02026","0.0532"
"1.26000","0.20481","946.38495","0.0539"
"1.28000","0.20814","958.86572","0.0546"
"1.30000","0.21145","971.62445","0.0554"
"1.32000","0.21481","984.20654","0.0561"
"1.34000","0.21814","997.02423","0.0568"
"1.36000","0.22144","1009.95178","0.0577"
"1.38000","0.22480","1022.64240","0.0584"
"1.40000","0.22814","1035.82520","0.0592"
"1.42000","0.23144","1048.79602","0.0600"
"1.44000","0.23479","1061.31177","0.0607"
"1.46000","0.23812","1074.04333","0.0614"
"1.48000","0.24142","1086.87927","0.0622"
"1.50000","0.24478","1099.32349","0.0630"
"1.52000","0.24813","1111.83582","0.0637"
"1.54000","0.25145","1124.20312","0.0645"
"1.56000","0.25480","1136.99426","0.0651"
"1.58000","0.25812","1149.78479","0.0658"
"1.60000","0.26143","1162.38330","0.0666"
"1.62000","0.26477","1175.35632","0.0674"
"1.64000","0.26812","1188.16968","0.0681"
"1.66000","0.27144","1200.87573","0.0690"
"1.68000","0.27481","1214.00757","0.0697"
"1.70000","0.27816","1226.91528","0.0704"
"1.72000","0.28149","1239.40247","0.0713"
"1.74000","0.28483","1251.94006","0.0721"
"1.76000","0.28814","1264.45752","0.0729"
"1.78000","0.29146","1276.94507","0.0737"
"1.80000","0.29481","1289.56787","0.0744"
"1.82000","0.29813","1301.91650","0.0752"
"1.84000","0.30145","1314.64624","0.0760"
"1.86000","0.30482","1327.59070","0.0769"
"1.88000","0.30812","1340.37524","0.0778"
"1.90000","0.31141","1353.15552","0.0786"
"1.92000","0.31476","1365.95520","0.0793"
"1.94000","0.31809","1378.92737","0.0802"
"1.96000","0.32143","1392.02649","0.0810"
"1.98000","0.32480","1404.80835","0.0818"
"2.00000","0.32814","1418.12891","0.0827"
"2.02000","0.33147","1431.22070","0.0836"
"2.04000","0.33485","1443.87512","0.0843"
"2.06000","0.33819","1456.36157","0.0851"
"2.08000","0.34148","1468.81946","0.0860"
"2.10000","0.34481","1481.52344","0.0868"
"2.12000","0.34813","1494.30786","0.0876"
"2.14000","0.35142","1507.03186","0.0884"
"2.16000","0.35476","1520.09839","0.0893"
"2.18000","0.35811","1533.29346","0.0902"
"2.20000","0.36143","1546.52283","0.0910"
"2.22000","0.36478","1559.70227","0.0919"
"2.24000","0.36815","1572.56165","0.0928"
"2.26000","0.37147","1585.61060","0.0937"
"2.28000","0.37478","1598.36426","0.0947"
"2.30000","0.37816","1610.95667","0.0955"
"2.32000","0.38150","1623.80859","0.0963"
"2.34000","0.38482","1636.46875","0.0972"
"2.36000","0.38820","1649.38794","0.0980"
"2.38000","0.39151","1662.44434","0.0989"
"2.40000","0.39478","1675.22803","0.0997"
"2.42000","0.39812","1688.07056","0.1005"
