x,y,z,intensity
-5.419122,9.0511,1.804305,1
-5.364053,8.833523,1.76688,1
-5.481641,8.900183,1.787481,106
-5.500808,8.807147,1.775464,87
-5.527483,8.727525,1.766193,90
-5.560853,8.659507,1.759326,98
-5.574705,8.591937,1.750743,90
-5.616632,8.538657,1.746966,92
-5.641665,8.460634,1.738039,91
-5.668154,8.385896,1.729799,91
-5.377646,8.92025,1.726546,141
-5.707329,8.330638,1.725678,94
-5.475631,8.955347,1.740212,155
-5.73078,8.280999,1.720871,95
-5.491937,8.887455,1.731879,97
-5.757736,8.209391,1.713318,94
-5.514264,8.799234,1.721213,125
-5.788598,8.144187,1.707138,97
-5.549408,8.732751,1.71488,80
-5.830416,8.094884,1.704391,103
-5.569028,8.642937,1.70388,35
-5.857866,8.026308,1.697524,86
-5.596342,8.566448,1.695547,78
-6.237134,9.322346,1.230064,84
-5.905832,7.98618,1.696837,99
-5.57189,8.412582,1.671548,158
-5.913845,7.918855,1.688254,75
-5.678167,8.486343,1.69188,131
-5.959908,7.876835,1.687223,114
-5.71151,8.421082,1.685881,142
-6.723091,9.680612,1.299603,1
-6.000867,7.828304,1.68482,104
-5.745372,8.357366,1.680214,145
-5.48712,9.073681,1.682185,50
-6.775764,9.626828,1.297907,1
-6.048724,7.788891,1.684477,94
-5.78428,8.301659,1.676214,132
-5.499498,8.966743,1.668445,146
-5.694639,9.089898,1.427127,35
-6.10365,7.758462,1.686193,89
-5.82158,8.244181,1.671881,139
-5.530625,8.891826,1.660777,80
-5.698423,8.970517,1.412676,26
-6.169513,7.741496,1.691,73
-5.851522,8.176926,1.665548,134
-5.54518,8.791854,1.648315,193
-6.908231,9.463479,1.291123,1
-5.706322,8.890335,1.403428,70
-6.245553,7.761377,1.701987,74
-5.875014,8.128452,1.661215,136
-5.56952,8.73902,1.643203,200
-6.972289,9.426263,1.292092,61
-5.741499,8.82283,1.397937,76
-6.35285,7.793643,1.718125,76
-5.910865,8.070664,1.656881,137
-5.585626,8.644233,1.6317,130
-7.012284,9.356884,1.288215,70
-6.717165,9.614182,1.226449,1
-5.758565,8.728839,1.387822,50
-6.46457,7.829414,1.735292,98
-5.940362,8.004819,1.650882,37
-5.623551,8.584227,1.626907,186
-7.06853,9.309482,1.287731,29
-5.795643,8.666199,1.383198,60
-6.555447,7.838435,1.746622,67
-5.969266,7.938921,1.644882,43
-5.636843,8.487952,1.615084,254
-5.834388,8.606709,1.379152,53
-5.883165,7.722148,1.606883,149
-5.742035,8.529239,1.630102,254
-5.872616,8.547077,1.375106,98
-6.860456,7.995789,1.801901,1
-6.075766,7.872666,1.646882,199
-5.777655,8.466935,1.62499,254
-5.399644,8.895674,1.555283,179
-6.935943,9.445241,1.225293,1
-5.890196,8.486836,1.369325,54
-5.85261,9.112626,1.387538,85
-6.992441,8.071906,1.826966,1
-6.087408,7.811231,1.639882,46
-5.795016,8.407148,1.618599,254
-5.536313,9.025357,1.583061,209
-6.989236,9.393497,1.224137,1
-6.39327,9.370878,1.137116,48
-5.935411,8.438345,1.367302,61
-5.882812,9.034134,1.380559,82
-7.069065,8.057384,1.833833,1
-6.118085,7.749574,1.634882,160
-6.695762,8.114431,2.293756,50
-5.823913,8.336631,1.611889,254
-5.522116,8.876102,1.56253,157
-6.7145,8.318559,1.165855,1
-5.982554,8.392839,1.365857,108
-5.906819,8.947349,1.372183,90
-7.28611,8.199552,1.877438,52
-6.223166,7.781941,1.650215,91
-6.724124,8.045187,2.285978,82
-5.830417,8.235511,1.599108,210
-5.552536,8.801051,1.555283,140
-6.790565,8.305363,1.170459,1
-6.015416,8.32785,1.360944,46
-5.931068,8.862268,1.364087,80
-7.449745,8.277891,1.906622,56
-6.323941,7.807152,1.664214,119
-6.772023,7.999794,2.285114,57
-5.85204,8.157067,1.5908,202
-5.580109,8.722634,1.547433,127
-5.655652,8.44395,2.047807,1
-6.86546,8.290011,1.17482,185
-6.069966,8.29308,1.361522,66
-5.966678,8.795289,1.359062,80
-7.634596,8.376302,1.940957,51
-6.434011,7.84209,1.680547,85
-5.891535,8.104192,1.587605,203
-5.614425,8.655846,1.541696,113
-5.708595,8.408248,2.047807,160
-6.094825,8.245315,1.358054,73
-5.976799,8.721273,1.351245,76
-7.818347,8.496565,1.978038,44
-6.518582,7.869489,1.693214,132
-5.909741,8.049324,1.582173,203
-5.640026,8.606112,1.537469,136
-5.728265,8.35213,2.040581,119
-7.426822,8.767622,1.263501,56
-6.142942,8.202112,1.357187,77
-6.015706,8.660746,1.347336,78
-8.045182,8.632917,2.02233,5
-6.648826,7.925225,1.714547,63
-5.951928,8.000962,1.579936,203
-5.677626,8.545771,1.53294,142
-5.766134,8.29503,2.035363,111
-6.189559,8.157057,1.356031,77
-6.039309,8.578994,1.339798,64
-5.995798,9.245375,1.352021,36
-5.992549,7.950814,1.57738,65
-5.700376,8.463952,1.524486,143
-5.79226,8.221745,2.026131,109
-7.435943,8.55839,1.244844,1
-6.801362,8.372173,1.116838,1
-6.244317,8.122705,1.356898,81
-6.091945,8.539264,1.339519,53
-8.886724,9.296218,2.207051,1
-6.936549,8.061147,1.763545,28
-6.020762,7.884804,1.571628,51
-5.720101,8.378916,1.515428,144
-5.818829,8.150056,2.017301,106
-6.8362,8.307765,1.1136,141
-6.55223,9.342155,1.066549,96
-6.292791,8.080194,1.35632,80
-6.117707,8.462247,1.332819,61
-6.217319,9.327428,1.377767,1
-8.851618,9.144081,2.183703,1
-7.003868,8.036763,1.767878,1
-6.05565,7.82811,1.567794,99
-5.7502,8.310248,1.509389,150
-5.857324,8.095848,2.012885,106
-6.978364,8.373167,1.130019,55
-6.563674,9.23425,1.057936,84
-6.364326,8.066867,1.361233,112
-6.155582,8.402843,1.329189,40
-8.867452,9.04614,2.173403,1
-7.209177,8.168839,1.807544,120
-6.102273,7.786804,1.567155,149
-5.775135,8.235051,1.502143,151
-5.888437,8.031982,2.006062,109
-6.56662,9.146595,1.050584,106
-6.398561,8.03215,1.360366,104
-6.185713,8.360987,1.326956,1
-8.953013,9.0476,2.184047,1
-7.373263,8.276362,1.839543,82
-6.158553,7.782692,1.572267,42
-5.796785,8.183511,1.497614,151
-5.922733,7.999414,2.004858,109
-6.605286,9.079388,1.047223,85
-6.483786,8.034842,1.368458,120
-6.23457,8.317195,1.326118,1
-6.704277,9.689065,1.455275,1
-9.06975,9.05092,2.19881,1
-7.523993,8.339867,1.864542,117
-6.235805,7.779217,1.579616,179
-5.822796,8.111541,1.490971,153
-6.643868,7.949757,2.181594,40
-5.949427,7.930648,1.99683,111
-7.38881,8.561642,1.177656,1
-5.571636,8.469159,1.945783,1
-6.63748,9.004042,1.042812,82
-6.58436,8.055138,1.380019,78
-6.246085,8.224155,1.316626,1
-6.812934,9.714821,1.466539,1
-9.133467,9.000658,2.200527,1
-7.694394,8.422215,1.894208,70
-6.336959,7.804149,1.593037,192
-5.857411,8.052379,1.486744,158
-6.693687,7.907856,2.181594,17
-6.002686,7.897798,1.998034,114
-8.355379,8.940242,1.354605,1
-5.620369,8.427461,1.94425,165
-6.670177,8.930246,1.03861,86
-6.676589,8.063829,1.389556,101
-6.318114,8.211472,1.321372,1
-6.162574,8.674663,1.300796,1
-6.123392,9.299982,1.288903,30
-7.876814,8.514347,1.926541,73
-6.439929,7.829637,1.606776,184
-5.896192,7.999478,1.483725,160
-6.810861,7.944205,2.203764,1
-6.041461,7.845932,1.994421,118
-5.663286,8.377365,1.940799,180
-5.388789,8.974141,1.914012,1
-6.844685,8.404705,1.080341,1
-6.705801,8.861161,1.035039,92
-6.787029,8.092874,1.403139,105
-8.087606,8.633343,1.96554,72
-6.554868,7.867765,1.623392,181
-5.940438,7.954341,1.482215,167
-6.971162,8.028041,2.239737,42
-6.109869,7.832575,2.000844,121
-9.285813,9.685989,1.498771,12
-5.70357,8.32383,1.936582,177
-6.944257,8.418173,1.088611,1
-6.739613,8.790401,1.031258,94
-6.903232,8.126869,1.417879,89
-6.549346,8.294882,1.350686,1
-6.911685,9.471157,1.447497,1
-8.278522,8.727091,1.999206,72
-6.670537,7.904755,1.640007,183
-6.158962,7.794032,2.000844,109
-8.464352,8.74896,1.346851,1
-5.716962,8.259789,1.927765,175
-5.371037,8.724909,1.872662,17
-7.011895,8.4189,1.093529,146
-6.771245,8.745945,1.029578,90
-7.018922,8.184236,1.435219,105
-6.514468,8.170873,1.333935,1
-6.790591,9.493046,1.036559,43
-6.947989,9.427327,1.44562,58
-8.643591,9.027516,2.078537,33
-6.796263,7.976756,1.662055,175
-5.942543,7.776829,1.460778,189
-6.238282,7.818613,2.014892,77
-5.746137,8.191612,1.920097,179
-5.4517,8.732738,1.881811,140
-6.812593,8.685987,1.027267,91
-7.150841,8.232455,1.453137,92
-6.49989,8.047994,1.319139,174
-6.72601,9.279623,1.015323,39
-6.989256,9.359696,1.441597,95
-6.709221,9.687046,1.372087,1
