x,y,z,intensity
9.852579,-18.164564,-0.44452268,48.0
9.853468,-17.89745,-0.4410505,137.0
9.996018,-17.889273,-0.4419705,80.0
10.110198,-17.82959,-0.44202983,88.0
10.240933,-17.863243,-0.44342464,59.0
9.768371,-18.089167,-0.56462836,152.0
9.989086,-17.9545,-0.56437933,143.0
8.60291,-13.97777,-0.38143,108.0
10.062445,-17.821695,-0.56271905,62.0
8.724773,-14.027004,-0.38300285,66.0
10.227461,-17.916557,-0.56612265,100.0
8.775322,-13.912755,-0.38196418,126.0
10.360842,-17.8883,-0.5669943,40.0
9.679855,-18.21376,-0.64847374,1.0
8.786997,-13.739509,-0.3798868,103.0
7.942275,-14.728449,-0.55211025,1.0
9.900269,-18.076664,-0.6480778,1.0
11.293347,-17.169363,-0.4428311,68.0
10.741616,-17.76517,-0.56882066,67.0
10.005866,-18.00013,-0.64768183,1.0
11.3443365,-17.013268,-0.4413176,89.0
10.797711,-17.606932,-0.56662077,104.0
10.121718,-17.942127,-0.6478303,1.0
11.495994,-17.065697,-0.44321692,97.0
8.646764,-13.943667,-0.4784584,71.0
10.301415,-18.060863,-0.6525817,1.0
7.8820424,-15.078108,-0.6690637,146.0
11.680914,-17.107008,-0.4452646,35.0
8.805382,-14.0025625,-0.48123944,85.0
7.847583,-14.784463,-0.6604516,42.0
11.717511,-16.931395,-0.44342464,130.0
8.855634,-13.887905,-0.47978666,109.0
10.470771,-17.833492,-0.6498101,1.0
8.104008,-15.039504,-0.6712479,44.0
11.790314,-16.80999,-0.442564,41.0
8.896125,-13.759727,-0.47800183,101.0
10.5713415,-17.748466,-0.64926565,1.0
9.864855,-18.043653,-0.7798978,77.0
8.638584,-14.056377,0.010233213,1.0
10.040463,-17.760117,-0.09102706,53.0
11.915424,-16.76327,-0.44306853,30.0
11.274542,-17.209932,-0.5649605,48.0
8.971845,-14.856297,-0.5675027,1.0
10.021601,-18.060017,-0.78270614,93.0
9.831845,-13.65587,-0.38757306,63.0
11.352628,-17.09375,-0.56383973,61.0
9.107911,-14.869486,-0.5695319,1.0
10.038916,-17.8259,-0.7765903,74.0
9.738231,-13.392848,-0.3835964,95.0
11.589907,-17.274342,-0.5696923,80.0
8.599049,-13.89376,-0.54236007,1.0
10.111945,-17.759275,-0.7759038,101.0
9.841198,-13.357133,-0.38407123,71.0
11.702707,-17.207796,-0.5698584,45.0
10.458927,-18.10412,-0.7906318,46.0
8.5722,-14.355099,-0.09947664,148.0
10.769697,-14.423765,-0.4049933,118.0
11.772065,-17.077915,-0.5684471,88.0
8.850403,-13.905957,-0.5459236,1.0
8.4956255,-14.486757,-0.66219896,63.0
8.642578,-14.268429,-0.099563845,55.0
9.890576,-17.866627,-0.20574969,128.0
10.822654,-14.306415,-0.40407333,67.0
10.954734,-14.105256,0.18982871,1.0
8.93217,-13.841681,-0.5456761,1.0
9.140329,-15.366632,-0.69608575,115.0
10.036005,-17.863382,-0.20597579,111.0
10.914766,-14.241303,-0.40413266,67.0
11.302285,-17.265905,-0.6487212,1.0
9.188253,-15.228398,-0.69315267,55.0
8.734641,-14.019399,-0.099940196,156.0
10.107362,-17.728775,-0.20570314,103.0
11.022454,-14.196116,-0.40457782,126.0
9.710163,-13.526625,-0.48352236,1.0
11.382867,-17.15293,-0.6474839,1.0
9.014006,-14.728441,-0.6769893,132.0
10.182791,-17.667095,-0.20564993,79.0
