"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.982177000E-3,-1.473983765E0,1.875976562E0,8.997009277E0
2.610961900E-2,-1.512268066E0,1.890335083E0,9.437286377E0
7.610961900E-2,-1.457229614E0,2.356933594E0,1.081555176E1
1.261096190E-1,-5.910339355E-1,1.347152710E0,9.286544800E0
1.761096190E-1,-8.446655273E-1,1.952545166E0,1.060260010E1
2.261096190E-1,4.115600586E-1,1.028915405E0,1.031785583E1
2.761096190E-1,2.632141113E-2,8.398742676E-1,7.948959351E0
3.261096190E-1,2.392578125E-2,9.834442139E-1,1.089691162E1
3.761096190E-1,-5.216369629E-1,1.213165283E0,9.437286377E0
4.261096190E-1,-5.958099365E-1,9.762725830E-1,9.552154541E0
4.761096190E-1,1.914215088E-1,1.215560913E0,1.011685181E1
5.261096190E-1,-5.838470459E-1,1.722839355E0,9.430114746E0
5.761096190E-1,-6.891326904E-1,1.808975220E0,1.074137878E1
6.261096190E-1,-3.493499756E-1,1.452438354E0,9.937393188E0
6.761096190E-1,-3.302154541E-1,1.363906860E0,9.714859009E0
7.261096190E-1,-4.642028809E-1,1.505081177E0,8.930007935E0
7.761096190E-1,-3.397827148E-1,1.722839355E0,9.123840332E0
8.261096190E-1,1.076812744E-1,1.866409302E0,1.072462463E1
8.761096190E-1,-7.178497314E-1,1.966903687E0,8.513656616E0
9.261096190E-1,1.196289062E-2,2.100891113E0,1.102372742E1
9.761096190E-1,-2.608184814E-1,1.555328369E0,9.755538940E0
1.026109619E0,-8.087768555E-1,2.043472290E0,1.009532166E1
1.076109619E0,-5.096740723E-1,2.268402100E0,8.831909180E0
1.126109619E0,-3.158569336E-1,3.000595093E0,9.504287720E0
1.176109619E0,7.656860352E-2,2.110473633E0,1.045903015E1
1.226109619E0,-5.982055664E-1,2.593826294E0,1.074137878E1
1.276109619E0,-3.804626465E-1,2.072189331E0,1.045663452E1
1.326109619E0,-3.995971680E-1,2.493316650E0,9.552154541E0
1.376109619E0,4.067840576E-1,2.024322510E0,1.185404968E1
1.426109619E0,4.833526611E-1,1.454833984E0,1.121755981E1
1.476109619E0,1.316070557E-1,1.981262207E0,1.161476135E1
1.526109619E0,1.706085205E0,8.973083496E-1,1.050927734E1
1.576109619E0,-1.914978027E-2,4.665985107E-1,1.009532166E1
1.626109619E0,-1.890258789E-1,5.838470459E-1,8.702697754E0
1.676109619E0,5.072784424E-1,1.808975220E0,7.544570923E0
1.726109619E0,-4.809570312E-1,1.251449585E0,8.413162231E0
1.776109619E0,1.411743164E-1,1.964508057E0,8.618942261E0
1.826109619E0,2.225341797E-1,2.524429321E0,9.260223389E0
1.876109619E0,3.517456055E-1,2.557922363E0,9.686141968E0
1.926109619E0,-3.445739746E-1,2.366500854E0,1.043510437E1
1.976109619E0,-1.986083984E-1,2.395217896E0,1.090409851E1
2.026109619E0,-8.877410889E-1,2.665603638E0,8.987442017E0
2.076109619E0,5.694885254E-1,1.000198364E0,1.361515808E1
2.126109619E0,-8.279113770E-1,1.593612671E0,7.633102417E0
2.176109619E0,-1.387832642E0,1.464401245E0,9.265014648E0
2.226109619E0,4.067993164E-2,1.763504028E0,8.264816284E0
2.276109619E0,-8.949127197E-1,1.875976562E0,8.819946289E0
2.326109619E0,-7.177734375E-2,2.349746704E0,8.870193481E0
2.376109619E0,-2.895355225E-1,2.866607666E0,8.812759399E0
2.426109619E0,-4.791259766E-3,2.550750732E0,9.623931885E0
2.476109619E0,2.751770020E-1,2.285140991E0,1.200479126E1
2.526109619E0,-1.148529053E-1,2.005187988E0,1.230149841E1
2.576109619E0,1.304092407E0,2.330612183E0,9.186050415E0
2.626109619E0,5.647125244E-1,6.508483887E-1,1.185643005E1
2.676109619E0,3.111267090E-2,7.992095947E-1,9.631118774E0
2.726109619E0,1.938171387E-1,1.373474121E0,9.784255981E0
2.776109619E0,1.842498779E-1,2.304290771E0,7.460815430E0
2.826109619E0,-2.536315918E-1,1.928619385E0,8.614166260E0
2.876109619E0,4.067840576E-1,2.203796387E0,9.403793335E0
2.926109619E0,5.934143066E-1,2.536392212E0,9.497116089E0
2.976109619E0,2.153015137E-2,2.667999268E0,1.060260010E1
3.026109619E0,2.440643311E-1,2.347366333E0,1.158604431E1
3.076109619E0,-8.398742676E-1,2.701492310E0,1.110987854E1
3.126109619E0,-9.260253906E-1,1.531402588E0,1.196171570E1
3.176109619E0,-5.312042236E-1,5.240325928E-1,9.748352051E0
3.226109619E0,-7.177734375E-2,8.327026367E-1,1.052603149E1
3.276109619E0,-9.331970215E-1,1.122238159E0,8.102096558E0
3.326109619E0,-5.383911133E-1,2.076965332E0,6.295516968E0
3.376109619E0,-5.886383057E-1,1.885543823E0,8.772094727E0
3.426109619E0,5.743408203E-2,2.297103882E0,8.953948975E0
3.476109619E0,-3.995971680E-1,2.526824951E0,1.035374451E1
3.526109619E0,2.632141113E-2,1.732406616E0,1.191625977E1
3.576109619E0,-2.129669189E-1,1.737182617E0,1.308395386E1
3.626109619E0,1.689331055E0,1.040878296E0,1.007856750E1
3.676109619E0,1.148529053E-1,1.531372070E-1,1.135873413E1
3.726109619E0,4.594268799E-1,1.124633789E0,9.674179077E0
3.776109619E0,-6.340942383E-1,1.356735229E0,9.664611816E0
3.826109619E0,-4.307098389E-1,2.596206665E0,7.097106934E0
3.876109619E0,-9.427795410E-1,1.416549683E0,8.879760742E0
3.926109619E0,4.187469482E-1,1.990829468E0,8.662017822E0
3.976109619E0,-2.632141113E-2,1.411758423E0,1.007139587E1
4.026109619E0,7.968139648E-1,1.825729370E0,1.020300293E1
4.076109619E0,-4.019927979E-1,1.813766479E0,1.227040100E1
4.126109619E0,9.308013916E-1,1.596008301E0,1.198565674E1
4.176109619E0,-2.282745361E0,1.052856445E-1,1.290927124E1
4.226109619E0,-2.206176758E0,3.493499756E-1,9.018554688E0
4.276109619E0,-1.787445068E0,-1.842498779E-1,1.114576721E1
4.326109619E0,-9.786682129E-1,5.431671143E-1,8.590240479E0
4.376109619E0,-1.500305176E0,8.374938965E-1,8.159530640E0
4.426109619E0,-4.594268799E-1,1.610366821E0,7.444076538E0
4.476109619E0,-6.197357178E-1,2.141571045E0,9.387039185E0
4.526109619E0,-9.499511719E-1,2.043472290E0,1.123429871E1
4.576109619E0,-7.178497314E-1,2.139190674E0,1.129652405E1
4.626109619E0,-1.607971191E0,1.808975220E0,1.289013672E1
4.676109619E0,2.536315918E-1,1.387832642E0,1.059780884E1
4.726109619E0,-1.105484009E0,3.206329346E-1,1.268435669E1
4.776109619E0,-8.925170898E-1,-1.675415039E-2,8.968292236E0
4.826109619E0,-5.072784424E-1,3.110656738E-1,9.432510376E0
4.876109619E0,-1.055236816E0,1.146163940E0,8.013565063E0
4.926109619E0,-2.199005127E0,1.229904175E0,7.747955322E0
4.976109619E0,-1.117446899E0,1.074371338E0,9.726821899E0
5.026109619E0,5.024719238E-2,1.323226929E0,1.005943298E1
5.076109619E0,-6.245269775E-1,1.684539795E0,1.061216736E1
5.126109619E0,3.158569336E-1,1.517044067E0,1.076770020E1
5.176109619E0,-1.179656982E0,1.007385254E0,1.219143677E1
5.226109619E0,3.804626465E-1,9.236297607E-1,1.241635132E1
5.276109619E0,-1.758728027E0,1.000198364E0,7.735992432E0
5.326109619E0,-1.574478149E0,5.479583740E-1,9.458831787E0
5.376109619E0,-1.000198364E0,5.431671143E-1,9.176467896E0
5.426109619E0,-1.105484009E0,1.282546997E0,7.599609375E0
5.476109619E0,-1.153335571E0,1.442871094E0,7.913070679E0
