"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.629272400E-2,-2.319335938E0,-1.092987061E1,4.260711670E1
7.752090600E-2,-1.715087891E0,-1.105957031E1,4.275512695E1
1.275086990E-1,-3.952026367E-1,-1.265258789E1,4.215240479E1
1.774964920E-1,0.000000000E0,-1.441955566E1,4.333801270E1
2.274842850E-1,-7.888793945E-1,-1.533355713E1,4.348602295E1
2.774720780E-1,6.530761719E-1,-1.750946045E1,4.615478516E1
3.274768520E-1,9.719848633E-1,-1.720581055E1,4.437103271E1
3.774341270E-1,5.371093750E-1,-1.662902832E1,4.377746582E1
4.274219200E-1,1.019287109E0,-1.587066650E1,4.258880615E1
4.774097130E-1,8.071899414E-1,-1.765747070E1,4.451904297E1
5.273975060E-1,1.858520508E0,-1.791839600E1,4.555511475E1
5.773852990E-1,2.232360840E0,-1.583251953E1,4.392242432E1
6.274036100E-1,1.734924316E0,-1.718444824E1,4.392242432E1
6.773608850E-1,1.960754395E0,-1.495056152E1,4.347991943E1
7.273486780E-1,1.789855957E0,-1.539916992E1,4.437255859E1
7.773364710E-1,4.490661621E0,-1.650238037E1,4.525451660E1
8.273242640E-1,4.463195801E0,-1.724395752E1,4.599761963E1
8.773730920E-1,4.620361328E0,-1.709136963E1,4.540100098E1
9.272998500E-1,2.169799805E0,-1.776275635E1,4.466400146E1
9.772876430E-1,2.574157715E0,-1.923217773E1,4.599761963E1
1.027275436E0,1.818847656E0,-1.925964355E1,4.421691895E1
1.077263229E0,2.899169922E-1,-1.945343018E1,4.510955811E1
1.127251022E0,9.277343750E-1,-1.854400635E1,4.510955811E1
1.177269332E0,1.022338867E-1,-2.064666748E1,4.451599121E1
1.227379196E0,2.059936523E0,-2.118072510E1,4.465789795E1
1.277214401E0,-3.829956055E-1,-2.170257568E1,4.347381592E1
1.327202194E0,-2.563476562E-1,-2.229003906E1,4.510650635E1
1.377189987E0,7.171630859E-1,-2.063140869E1,4.243316650E1
1.427177780E0,2.040100098E0,-2.177429199E1,4.436035156E1
1.477196090E0,1.138305664E0,-2.165527344E1,4.347076416E1
1.527153365E0,5.274963379E0,-2.033233643E1,4.658355713E1
1.577354781E0,5.601501465E0,-1.973266602E1,4.509735107E1
1.627128951E0,4.725646973E0,-1.857299805E1,4.599304199E1
1.677116744E0,5.339050293E0,-1.840515137E1,4.584350586E1
1.727104537E0,4.606628418E0,-1.738433838E1,4.718322754E1
1.777092330E0,3.453063965E0,-1.549224854E1,4.674530029E1
1.827080123E0,4.803466797E0,-1.589202881E1,4.926757812E1
1.877067916E0,1.947021484E0,-1.494293213E1,4.853210449E1
1.927330367E0,2.404785156E0,-1.492919922E1,4.778900146E1
1.977043502E0,6.851196289E-1,-1.156921387E1,4.854125977E1
2.027061813E0,-2.836608887E0,-1.242218018E1,4.780731201E1
2.077019088E0,2.728271484E0,-1.417541504E1,4.927673340E1
2.127006881E0,-1.484680176E0,-1.297302246E1,4.750671387E1
2.176994674E0,4.653930664E-1,-1.380462646E1,4.720153809E1
2.226982467E0,-1.815795898E-1,-1.500854492E1,4.824066162E1
2.277305953E0,-4.653930664E-1,-1.427764893E1,4.853973389E1
2.327019088E0,-2.731323242E-1,-1.308288574E1,4.765167236E1
2.376945846E0,8.087158203E-1,-1.245574951E1,4.839172363E1
2.426933639E0,-4.180908203E-1,-1.294097900E1,4.705657959E1
2.476921432E0,1.863098145E0,-1.302032471E1,4.586181641E1
2.526909225E0,6.332397461E-1,-1.335296631E1,4.705200195E1
2.576897018E0,1.858520508E0,-1.301727295E1,4.719848633E1
2.627312057E0,3.318786621E0,-1.505432129E1,4.585571289E1
2.726860397E0,5.406188965E0,-1.632385254E1,4.540100098E1
2.776848190E0,3.750610352E0,-1.593170166E1,4.451446533E1
2.876854293E0,5.183410645E0,-1.380920410E1,4.496002197E1
2.926811569E0,4.525756836E0,-1.546325684E1,4.377136230E1
2.977165573E0,4.930114746E0,-1.248474121E1,4.273529053E1
3.026298873E0,5.780029297E0,-1.423797607E1,4.362030029E1
3.126762740E0,4.159545898E0,-1.280517578E1,4.243774414E1
3.176781051E0,4.444885254E0,-1.339111328E1,4.199066162E1
3.226738326E0,4.444885254E0,-1.339111328E1,4.199066162E1
3.276298873E0,6.121826172E0,-1.334075928E1,4.094696045E1
3.376701705E0,4.837036133E0,-1.545715332E1,4.183807373E1
3.426689498E0,5.432128906E0,-1.573333740E1,4.257812500E1
3.476707809E0,3.598022461E0,-1.609039307E1,4.228515625E1
3.526298873E0,5.194091797E0,-1.351318359E1,4.421997070E1
3.626640670E0,2.005004883E0,-1.361541748E1,4.274139404E1
3.676628463E0,3.512573242E0,-1.386413574E1,4.422149658E1
