"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.997973900E-2,2.297058105E-1,1.208374023E0,9.774673462E0
1.099797390E-1,8.757781982E-1,6.891326904E-1,1.019342041E1
1.599797390E-1,2.512512207E-1,1.074371338E0,1.000199890E1
2.099797390E-1,5.503540039E-1,4.163513184E-1,9.982849121E0
2.599797390E-1,1.818542480E-1,7.393798828E-1,9.743576050E0
3.099797390E-1,-1.124572754E-1,9.714813232E-1,9.501892090E0
3.599797390E-1,1.292114258E-1,6.173553467E-1,9.911071777E0
4.099797390E-1,8.757781982E-1,9.092712402E-1,1.000917053E1
4.599797390E-1,7.656860352E-2,1.040878296E0,9.908676147E0
5.099797390E-1,4.570312500E-1,1.380661011E0,1.016232300E1
5.599797390E-1,1.000198364E0,9.403839111E-1,9.389434814E0
6.099797390E-1,3.421783447E-1,1.351943970E0,1.086341858E1
6.599797390E-1,-6.700134277E-2,1.966903687E0,9.320037842E0
7.099797390E-1,-3.111267090E-2,1.103088379E0,9.200408936E0
7.599797390E-1,1.531372070E-1,1.490722656E0,9.530609131E0
8.099797390E-1,3.421783447E-1,1.201202393E0,1.000917053E1
8.599797390E-1,1.746826172E-1,1.292129517E0,1.027478027E1
9.099797390E-1,-3.062744141E-1,1.887939453E0,9.549758911E0
9.599797390E-1,9.451599121E-1,2.141571045E0,1.016949463E1
1.009979739E0,4.642028809E-1,1.954940796E0,1.096391296E1
1.059979739E0,9.331970215E-1,2.256439209E0,9.820144653E0
1.109979739E0,3.062744141E-1,2.751739502E0,9.597610474E0
1.159979739E0,3.493499756E-1,2.624923706E0,9.573684692E0
1.209979739E0,8.063812256E-1,2.723037720E0,1.016471863E1
1.259979739E0,8.422698975E-1,2.600997925E0,1.055235291E1
1.309979739E0,1.593612671E0,2.000396729E0,1.113619995E1
1.359979739E0,9.260253906E-1,4.187469482E-1,1.189710999E1
1.409979739E0,1.016952515E0,1.026519775E0,1.036810303E1
1.459979739E0,9.308013916E-1,1.299301147E0,9.698104858E0
1.509979739E0,9.092712402E-1,1.268188477E0,8.767303467E0
1.559979739E0,8.183441162E-1,1.344772339E0,8.109283447E0
1.609979739E0,3.732757568E-1,1.445266724E0,8.417953491E0
1.659979739E0,6.723785400E-1,1.801788330E0,8.099700928E0
1.709979739E0,2.201385498E-1,1.540985107E0,1.017428589E1
1.759979739E0,8.255310059E-1,2.275573730E0,1.027957153E1
1.809979739E0,3.038940430E-1,1.782653809E0,1.195214844E1
1.859979739E0,4.307098389E-1,2.108078003E0,1.216511536E1
1.909979739E0,2.297058105E-1,4.689941406E-1,1.307916260E1
1.959979739E0,-8.877410889E-1,7.657012939E-1,8.748153687E0
2.009979739E0,-9.332275391E-2,7.441711426E-1,9.815353394E0
2.059979739E0,-4.761657715E-1,1.292114258E-1,8.898910522E0
2.109979739E0,1.555328369E-1,9.020996094E-1,8.518447876E0
2.159979739E0,-5.312042236E-1,6.173553467E-1,9.047256470E0
2.209979739E0,-2.656097412E-1,1.184448242E0,8.956329346E0
2.259979739E0,-9.499511719E-1,1.488342285E0,8.827117920E0
2.309979739E0,-3.373870850E-1,1.653442383E0,1.089451599E1
2.359979739E0,-9.954071045E-1,1.287338257E0,1.094715881E1
2.409979739E0,-6.484527588E-1,1.052841187E0,1.208854675E1
2.459979739E0,-9.403839111E-1,1.062408447E0,1.162672424E1
2.509979739E0,5.192413330E-1,1.100769043E-1,1.166979980E1
2.559979739E0,-1.284942627E0,-1.435699463E-1,1.012641907E1
2.609979739E0,5.264282227E-2,5.144500732E-1,8.118850708E0
2.659979739E0,-2.273254395E-1,4.618072510E-1,8.994613647E0
2.709979739E0,-3.349914551E-1,1.122238159E0,7.532608032E0
2.759979739E0,-7.202453613E-1,1.158126831E0,7.881958008E0
2.809979739E0,2.464599609E-1,1.392623901E0,9.123840332E0
2.859979739E0,-2.727813721E-1,1.452438354E0,1.086102295E1
2.909979739E0,-2.584228516E-1,1.526626587E0,1.211486816E1
2.959979739E0,9.571838379E-2,1.651046753E0,1.226560974E1
3.009979739E0,-1.507415771E-1,4.498443604E-1,1.094477844E1
3.059979739E0,-1.466796875E0,-3.110656738E-1,1.184208679E1
3.109979739E0,-7.920227051E-1,4.115600586E-1,7.793426514E0
3.159979739E0,-1.478759766E0,8.613586426E-2,9.016159058E0
3.209979739E0,-6.053771973E-1,5.431671143E-1,8.379669189E0
3.259979739E0,-9.906311035E-1,4.905242920E-1,8.977874756E0
3.309979739E0,-6.508483887E-1,1.148559570E0,9.513870239E0
3.359979739E0,-9.092712402E-1,1.308868408E0,9.391830444E0
3.409979739E0,-4.833526611E-1,1.414154053E0,1.158364868E1
3.459979739E0,-5.981445312E-2,1.014556885E0,1.156211853E1
3.509979739E0,-4.115600586E-1,9.164581299E-1,1.214836121E1
3.559979739E0,2.392883301E-1,-1.435699463E-1,1.034417725E1
3.609979739E0,-9.236297607E-1,-2.895355225E-1,1.218185425E1
3.659979739E0,1.000198364E0,4.211425781E-1,8.293518066E0
3.709979739E0,-1.675415039E-2,4.977111816E-1,7.893920898E0
3.759979739E0,-7.202453613E-1,7.752685547E-1,8.099700928E0
3.809979739E0,-9.260253906E-1,1.445266724E0,8.286346436E0
3.859979739E0,0.000000000E0,1.713256836E0,9.111862183E0
3.909979739E0,-7.177734375E-2,1.607971191E0,1.003071594E1
3.959979739E0,9.809875488E-2,1.284942627E0,1.218664551E1
4.009979739E0,4.235229492E-1,1.500305176E0,1.163391113E1
4.059979739E0,-1.227523804E0,1.167694092E0,1.067677307E1
4.109979739E0,1.866455078E-1,2.632141113E-1,1.300019836E1
4.159979739E0,-1.378265381E0,1.026519775E0,6.649658203E0
4.209979739E0,-1.335189819E0,5.335998535E-1,9.580856323E0
4.259979739E0,-6.173553467E-1,5.072784424E-1,9.310470581E0
4.309979739E0,-1.040878296E0,1.057632446E0,7.738388062E0
4.359979739E0,-6.460571289E-1,1.296905518E0,8.271987915E0
4.409979739E0,-7.154541016E-1,1.344772339E0,9.444473267E0
4.459979739E0,-9.499511719E-1,1.560119629E0,1.007617188E1
4.509979739E0,-5.479583740E-1,1.036087036E0,1.243789673E1
4.559979739E0,-8.470611572E-1,1.160522461E0,1.243789673E1
4.609979739E0,9.332275391E-2,-7.824554443E-1,1.286141968E1
4.659979739E0,-3.110656738E-1,-1.579284668E-1,1.169132996E1
4.709979739E0,2.117645264E0,8.446655273E-1,7.039688110E0
4.759979739E0,-4.067840576E-1,5.958099365E-1,8.405990601E0
4.809979739E0,-5.264282227E-1,1.222732544E0,6.970291138E0
4.859979739E0,-8.709869385E-1,1.007385254E0,8.470596313E0
4.909979739E0,4.331054688E-1,1.438079834E0,9.729217529E0
4.959979739E0,-1.579284668E-1,1.263412476E0,1.129173279E1
5.009979739E0,-1.435699463E-1,7.346038818E-1,1.252163696E1
5.059979739E0,-4.809570312E-1,1.220336914E0,1.173200989E1
5.109979739E0,-2.392578125E-2,-1.179656982E0,1.489292908E1
5.159979739E0,-1.057632446E0,-7.656860352E-2,8.164306641E0
5.209979739E0,-2.895355225E-1,-5.743408203E-2,8.312667847E0
5.259979739E0,-5.718841553E-1,2.225341797E-1,8.109283447E0
5.309979739E0,-3.900299072E-1,9.188385010E-1,8.042282104E0
5.359979739E0,-7.226257324E-1,1.036087036E0,8.860626221E0
5.409979739E0,2.395629883E-3,1.311264038E0,1.036331177E1
5.459979739E0,-5.001068115E-1,1.380661011E0,1.046380615E1
