"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.128028593E0,-3.779919327E1,1.449613295E2,6.194628890E1,0.000000000E0,0.000000000E0,8.576000214E0,1.200000000E1
1.145353750E0,-3.779920381E1,1.449613161E2,6.194634550E1,0.000000000E0,0.000000000E0,8.576000214E0,1.200000000E1
2.154676301E0,-3.779919765E1,1.449613230E2,5.655434617E1,3.300000131E-1,2.698999939E2,7.504000187E0,1.200000000E1
3.159532030E0,-3.779919722E1,1.449613198E2,5.327505319E1,8.700000048E-1,2.817000122E2,6.432000160E0,1.200000000E1
4.143660676E0,-3.779919535E1,1.449613084E2,5.342509022E1,1.269999981E0,2.778999939E2,6.432000160E0,1.200000000E1
5.159955988E0,-3.779919395E1,1.449612910E2,5.398413511E1,1.409999967E0,2.773999939E2,6.432000160E0,1.200000000E1
6.161474112E0,-3.779919315E1,1.449612715E2,5.493075891E1,1.480000019E0,2.772999878E2,5.360000134E0,1.200000000E1
7.164945726E0,-3.779919326E1,1.449612511E2,5.599371994E1,1.450000048E0,2.821000061E2,5.360000134E0,1.200000000E1
8.153848226E0,-3.779919435E1,1.449612315E2,5.499393891E1,1.389999986E0,2.732999878E2,5.360000134E0,1.200000000E1
9.146074736E0,-3.779919575E1,1.449612154E2,5.492261979E1,8.999999762E-1,2.728999939E2,4.288000107E0,8.000000000E0
1.017789224E1,-3.779919631E1,1.449611999E2,5.547239085E1,1.090000033E0,2.728999939E2,4.288000107E0,8.000000000E0
1.116108588E1,-3.779919277E1,1.449611840E2,5.257872869E1,1.250000000E0,2.727999878E2,4.288000107E0,6.000000000E0
1.215595510E1,-3.779918734E1,1.449611683E2,5.274646124E1,1.159999967E0,2.730000000E2,4.288000107E0,6.000000000E0
1.316098349E1,-3.779918443E1,1.449611546E2,5.115473830E1,9.499999881E-1,2.727000122E2,3.216000080E0,6.000000000E0
1.415218750E1,-3.779918561E1,1.449611395E2,4.991477684E1,1.279999971E0,2.698999939E2,3.216000080E0,6.000000000E0
1.514406781E1,-3.779919329E1,1.449611255E2,4.876846278E1,1.330000043E0,2.415000000E2,3.216000080E0,6.000000000E0
1.615392015E1,-3.779920635E1,1.449611165E2,4.758175281E1,1.200000048E0,2.203000031E2,3.216000080E0,6.000000000E0
1.716949848E1,-3.779922039E1,1.449611121E2,4.772005083E1,1.299999952E0,2.006999969E2,3.216000080E0,4.000000000E0
1.815109978E1,-3.779923515E1,1.449611108E2,4.975824840E1,1.350000024E0,1.901000061E2,4.288000107E0,6.000000000E0
1.914500499E1,-3.779924825E1,1.449611108E2,4.898949257E1,1.279999971E0,1.886000061E2,3.216000080E0,6.000000000E0
2.015377202E1,-3.779926165E1,1.449611101E2,4.858713291E1,1.440000057E0,1.896000061E2,3.216000080E0,6.000000000E0
2.114537103E1,-3.779927104E1,1.449611080E2,4.811914967E1,1.179999948E0,1.933999939E2,3.216000080E0,6.000000000E0
2.215684937E1,-3.779927745E1,1.449611050E2,4.731961519E1,1.179999948E0,1.936000061E2,3.216000080E0,6.000000000E0
2.314696926E1,-3.779928688E1,1.449611017E2,4.739490792E1,1.279999971E0,1.960000000E2,4.288000107E0,6.000000000E0
2.416740937E1,-3.779929630E1,1.449610983E2,4.743443411E1,1.059999943E0,1.955000000E2,4.288000107E0,6.000000000E0
2.517239723E1,-3.779930924E1,1.449610966E2,4.709426946E1,1.620000005E0,1.903000031E2,5.360000134E0,8.000000000E0
2.615164051E1,-3.779932512E1,1.449610951E2,4.699331083E1,1.580000043E0,1.861999969E2,5.360000134E0,8.000000000E0
2.714912468E1,-3.779934264E1,1.449610950E2,4.770552681E1,1.399999976E0,1.836000061E2,5.360000134E0,8.000000000E0
2.815450442E1,-3.779935970E1,1.449610943E2,4.795686568E1,1.470000029E0,1.876999969E2,6.432000160E0,8.000000000E0
