"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.612806000E-2,-1.219787598E-1,-1.477508545E-1,3.654479980E-2
1.161280600E-1,-3.541107178E-1,-5.612182617E-2,-5.384826660E-2
1.661280600E-1,-1.903991699E-1,-2.864227295E-1,1.251220703E-1
2.161280600E-1,-1.079254150E-1,8.131408691E-2,6.831359863E-2
2.661280600E-1,-2.520904541E-1,-2.021179199E-1,1.690979004E-1
3.161280600E-1,-8.898925781E-2,-1.349182129E-1,2.250671387E-2
3.661280600E-1,2.683563232E-1,2.444152832E-1,7.563781738E-2
4.161280600E-1,3.012084961E-2,-4.977722168E-1,1.220703125E-1
4.661280600E-1,-5.722045898E-2,-2.191162109E-2,7.380676270E-2
5.161280600E-1,-3.340148926E-2,8.772735596E-1,4.525451660E-1
5.661280600E-1,1.248168945E-1,-1.685180664E-1,3.908538818E-1
6.161280600E-1,-2.117767334E-1,-6.187286377E-1,-1.748046875E-1
6.661280600E-1,-1.677856445E-1,4.118041992E-1,1.251220703E-1
7.161280600E-1,2.646942139E-1,3.091735840E-1,2.784423828E-1
7.661280600E-1,2.036132812E-1,4.405212402E-2,1.019134521E-1
8.161280600E-1,1.028137207E-1,1.168823242E-2,1.788787842E-1
8.661280600E-1,1.981048584E-1,-2.473297119E-1,2.381286621E-1
9.161280600E-1,5.088806152E-2,-4.580688477E-1,7.136535645E-2
9.661280600E-1,7.409667969E-2,-6.511077881E-1,-2.242889404E-1
1.016128060E0,3.520507812E-1,2.053222656E-1,-9.233093262E-2
1.066128060E0,-2.331542969E-1,-7.867279053E-1,-4.741363525E-1
1.116128060E0,-3.742675781E-1,4.930419922E-1,-2.316131592E-1
1.166128060E0,-7.798767090E-2,2.193756104E-1,1.605529785E-1
1.216128060E0,2.579650879E-1,1.246948242E-1,-1.314239502E-1
1.266128060E0,-9.814453125E-2,-1.929473877E-1,-1.729736328E-1
1.316128060E0,-2.075042725E-1,5.749511719E-2,-1.570892334E-1
1.366128060E0,-1.922302246E-1,-1.300354004E-1,-6.179809570E-2
1.416128060E0,2.042236328E-1,5.467987061E-1,1.638793945E-2
1.466128060E0,2.029418945E-3,1.924896240E-1,2.955474854E-1
1.516128060E0,4.711608887E-1,3.244476318E-1,2.149200439E-1
1.566128060E0,-1.916198730E-1,1.001281738E0,2.259216309E-1
1.616128060E0,5.577087402E-2,-7.164611816E-1,1.214599609E-1
1.666128060E0,-7.798767090E-2,-2.998657227E-1,-6.912231445E-2
1.716128060E0,-4.206848145E-1,3.843078613E-1,1.579284668E-2
1.766128060E0,2.951049805E-2,3.091735840E-1,1.758270264E-1
1.816128060E0,3.141784668E-1,-6.718750000E-1,2.494812012E-2
1.866128060E0,4.119110107E-1,-2.130126953E-2,3.236541748E-1
1.916128060E0,3.037872314E-1,-1.153564453E-2,1.458892822E-1
1.966128060E0,3.434906006E-1,-5.637512207E-1,-1.595306396E-1
2.016128060E0,3.807525635E-1,-2.130126953E-2,-1.625823975E-1
2.066128060E0,-7.676696777E-2,2.731323242E-1,-1.021118164E-1
2.116128060E0,-9.570312500E-2,-3.951416016E-1,-7.337493896E-1
2.166128060E0,-1.769561768E-1,3.262786865E-1,4.264831543E-2
2.216128060E0,-1.696319580E-1,1.821136475E-1,-2.270507812E-2
2.266128060E0,9.182739258E-2,2.792358398E-1,5.303955078E-2
2.316128060E0,1.437377930E-1,-3.352355957E-2,3.961181641E-2
2.366128060E0,2.610321045E-1,7.629394531E-5,4.327392578E-2
2.416128060E0,2.781372070E-1,4.136199951E-1,2.411956787E-1
2.466128060E0,2.378234863E-1,-1.642456055E-1,1.104583740E-1
2.516128060E0,4.546813965E-1,7.703704834E-1,2.497406006E-1
2.566128060E0,-4.524536133E-1,-2.980194092E-1,1.272583008E-2
2.616128060E0,7.897949219E-2,-1.648559570E-1,-4.530334473E-2
2.666128060E0,-4.714050293E-1,1.943359375E-1,5.303955078E-2
2.716128060E0,-5.483703613E-1,1.741638184E-1,-4.040527344E-2
2.766128060E0,8.937072754E-2,-3.053588867E-1,1.452789307E-1
2.816128060E0,2.628631592E-1,-2.534332275E-1,9.825134277E-2
2.866128060E0,3.141784668E-1,-3.035278320E-1,-2.346649170E-1
2.916128060E0,2.475891113E-1,-1.465301514E-1,-1.870269775E-1
2.966128060E0,-1.421356201E-1,-2.259368896E-1,-4.784088135E-1
3.016128060E0,-4.699707031E-3,3.250579834E-1,1.129150391E-3
3.066128060E0,-3.577728271E-1,-3.945465088E-1,-5.822601318E-1
3.116128060E0,-3.186798096E-1,6.182708740E-1,-3.159179688E-1
3.166128060E0,-2.942352295E-1,-3.041229248E-1,-1.027221680E-1
3.216128060E0,-9.143066406E-2,-3.413391113E-2,-9.111022949E-2
3.266128060E0,-2.166595459E-1,4.227905273E-1,1.538391113E-1
3.316128060E0,3.166198730E-1,-4.525756836E-1,1.825408936E-1
3.366128060E0,1.070861816E-1,9.841918945E-2,1.587219238E-1
3.416128060E0,1.816101074E-1,2.816772461E-2,8.419799805E-2
3.466128060E0,2.329254150E-1,2.181549072E-1,7.931518555E-2
3.516128060E0,-2.655334473E-1,6.194915771E-1,1.947631836E-1
3.566128060E0,-2.729797363E-2,-5.552062988E-1,-3.898315430E-1
3.616128060E0,-4.011383057E-1,4.197387695E-1,2.198028564E-1
3.666128060E0,-4.365692139E-1,2.071533203E-1,8.419799805E-2
3.716128060E0,-2.423095703E-2,-5.173339844E-1,2.497406006E-1
3.766128060E0,2.689666748E-1,-1.801300049E-1,3.053283691E-1
3.816128060E0,2.701873779E-1,-1.440887451E-1,9.579467773E-2
3.866128060E0,2.543029785E-1,-3.200073242E-1,-3.125000000E-2
3.916128060E0,-7.615661621E-2,-3.878173828E-1,-2.823181152E-1
3.966128060E0,6.311035156E-2,1.179656982E-1,-5.628967285E-2
4.016128060E0,-8.611297607E-1,-1.233215332E-1,-6.097412109E-1
4.066128060E0,1.327514648E-1,4.166870117E-1,7.197570801E-2
4.116128060E0,-1.445770264E-1,3.421630859E-1,8.236694336E-2
4.166128060E0,-1.280822754E-1,-6.004028320E-1,-1.601409912E-1
4.216128060E0,1.125946045E-1,1.369171143E-1,7.624816895E-2
4.266128060E0,-5.905151367E-2,9.719848633E-2,-4.347229004E-2
4.316128060E0,3.465576172E-1,-3.676605225E-1,1.782684326E-1
4.366128060E0,1.895599365E-1,1.332397461E-1,8.114624023E-2
4.416128060E0,2.653045654E-1,-2.283782959E-1,7.232666016E-3
4.466128060E0,2.946319580E-1,1.329925537E0,3.908538818E-1
4.516128060E0,-4.304656982E-1,-4.818878174E-1,-2.536163330E-1
4.566128060E0,3.887023926E-1,-2.943572998E-1,1.642150879E-1
4.616128060E0,-4.194641113E-1,5.064849854E-1,1.428375244E-1
4.666128060E0,-1.769561768E-1,-2.228851318E-1,2.863922119E-1
4.716128060E0,5.210876465E-2,-4.519653320E-1,7.843017578E-3
4.766128060E0,2.659149170E-1,-2.008056641E-2,4.937744141E-2
4.816128060E0,2.940216064E-1,-8.604431152E-2,-1.265411377E-1
4.866128060E0,2.451477051E-1,-1.422424316E-1,-1.283874512E-1
