"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.805039800E-2,-2.933807373E1,9.097290039E0,5.009307861E1
1.480288060E-1,-2.845153809E1,8.384704590E0,5.217285156E1
2.483706030E-1,-2.680053711E1,7.691955566E0,5.068054199E1
2.979921850E-1,-2.235260010E1,4.574584961E0,5.616149902E1
3.979677710E-1,-2.327423096E1,4.400634766E0,5.660858154E1
4.979433570E-1,-2.101287842E1,3.726196289E0,5.645294189E1
5.479616680E-1,-2.194976807E1,2.804565430E0,5.467224121E1
6.479067360E-1,-2.187500000E1,5.844116211E-1,5.644836426E1
7.479128400E-1,-2.124633789E1,-3.401184082E0,5.867156982E1
7.979006330E-1,-2.285614014E1,-1.524353027E0,5.704498291E1
8.978457010E-1,-2.406158447E1,-1.113891602E0,5.868225098E1
9.978212870E-1,-2.150878906E1,-2.073669434E0,5.867462158E1
1.047992185E0,-2.453002930E1,-1.576232910E0,5.704956055E1
1.147876218E0,-2.257843018E1,-2.406311035E0,5.644531250E1
1.247760252E0,-2.170867920E1,-3.562927246E0,5.911712646E1
1.297748045E0,-2.349853516E1,-2.580261230E0,5.734100342E1
1.397906736E0,-2.171630859E1,-3.860473633E0,5.837249756E1
1.497699217E0,-2.170867920E1,-3.865051270E0,5.555114746E1
1.547717527E0,-2.456359863E1,-2.613830566E0,5.734405518E1
1.647662595E0,-2.846527100E1,-1.411437988E0,5.245056152E1
1.747882322E0,-2.919158936E1,-3.936767578E-1,5.275115967E1
1.797625974E0,-3.084411621E1,1.464843750E-1,5.141906738E1
1.897601560E0,-2.918548584E1,-3.982543945E-1,5.022430420E1
1.997607664E0,-2.799377441E1,-9.506225586E-1,5.260009766E1
2.047564939E0,-2.840881348E1,2.212524414E-1,5.067138672E1
2.147540525E0,-2.957611084E1,1.670837402E0,5.082550049E1
2.247516111E0,-3.036499023E1,7.522583008E-1,5.008087158E1
2.297534422E0,-2.963409424E1,-2.639770508E-1,4.933471680E1
2.397479490E0,-3.105926514E1,2.658081055E0,4.860076904E1
2.497455076E0,-3.166351318E1,2.937316895E0,5.008850098E1
2.547473386E0,-3.109588623E1,1.622009277E0,5.053253174E1
2.647418455E0,-2.913055420E1,1.234436035E0,4.918823242E1
2.747394041E0,-2.791137695E1,1.422119141E0,5.007476807E1
2.797595457E0,-2.614898682E1,-1.449584961E-1,5.482330322E1
2.897387937E0,-3.004455566E1,1.358032227E0,5.156707764E1
2.997333006E0,-2.854461670E1,8.148193359E-1,5.260467529E1
3.047320799E0,-2.760314941E1,1.580810547E0,5.067138672E1
3.147571043E0,-2.732391357E1,9.994506836E-1,5.245208740E1
3.247302488E0,-2.760009766E1,1.580810547E0,4.992675781E1
3.297259763E0,-2.787017822E1,2.761840820E0,5.111846924E1
3.397235349E0,-2.924041748E1,2.719116211E0,5.112304688E1
3.497455076E0,-2.863464355E1,2.587890625E0,5.067749023E1
3.547198728E0,-2.906799316E1,3.317260742E0,5.097351074E1
3.647174314E0,-2.839508057E1,5.157470703E-1,4.948120117E1
3.747149900E0,-2.837371826E1,1.260375977E0,5.022583008E1
3.797137693E0,-2.833251953E1,2.598571777E0,5.097198486E1
3.897113279E0,-2.821960449E1,1.414489746E0,5.156250000E1
3.997119383E0,-2.471771240E1,-2.769470215E0,5.674743652E1
4.047076658E0,-2.448120117E1,-4.840087891E0,5.644531250E1
4.147052244E0,-2.425994873E1,-2.908325195E0,5.422058105E1
4.247027830E0,-2.844085693E1,-8.193969727E-1,5.066986084E1
4.297046140E0,-2.932586670E1,4.425048828E-2,5.111846924E1
4.397021726E0,-2.908325195E1,2.870178223E0,5.067749023E1
4.496997312E0,-2.908325195E1,2.870178223E0,5.067749023E1
4.547168211E0,-2.848815918E1,2.445983887E0,5.111846924E1
4.646930174E0,-2.806243896E1,1.570129395E0,5.171203613E1
4.746936277E0,-2.550811768E1,6.103515625E-1,5.170288086E1
4.796893552E0,-2.607879639E1,1.782226562E0,5.230255127E1
4.897143797E0,-2.563323975E1,1.496887207E0,5.230102539E1
4.996844724E0,-2.503814697E1,1.220703125E0,5.408325195E1
5.046863035E0,-2.523956299E1,-2.670288086E-1,5.467376709E1
5.146838621E0,-2.557830811E1,-1.618957520E0,5.095672607E1
5.247027830E0,-2.654418945E1,-3.283691406E0,5.155029297E1
5.296771482E0,-2.579498291E1,-3.553771973E0,5.229339600E1
5.396747068E0,-2.633209229E1,-1.344299316E0,5.170288086E1
5.496722654E0,-2.730407715E1,1.594543457E0,5.215606689E1
5.546710447E0,-2.660522461E1,-3.143310547E-1,5.244750977E1
5.646686033E0,-2.738037109E1,-7.827758789E-1,5.244903564E1
5.746692136E0,-2.603607178E1,-1.632690430E0,5.140380859E1
5.796679929E0,-2.662658691E1,-1.058959961E0,5.140533447E1
5.896624998E0,-2.564239502E1,1.199340820E0,5.185394287E1
5.996661619E0,-2.448425293E1,-6.942749023E-1,5.095672607E1
6.046588377E0,-2.424163818E1,-2.313232422E0,5.466766357E1
6.146563963E0,-2.927398682E1,-3.070068359E0,5.140838623E1
6.246539549E0,-2.732543945E1,-3.898620605E0,5.184783936E1
6.296832517E0,-2.727966309E1,-2.561950684E0,5.081176758E1
6.396533445E0,-2.680816650E1,-1.953125000E0,5.229644775E1
6.496509031E0,-2.739715576E1,-1.379394531E0,5.140686035E1
6.546473552E0,-2.825164795E1,3.753662109E-1,5.081939697E1
6.646784832E0,-2.710113525E1,-1.664733887E0,5.170440674E1
6.746455242E0,-2.723999023E1,-1.223754883E0,5.229949951E1
6.796412517E0,-2.648315430E1,-1.199340820E0,5.303955078E1
6.896388103E0,-2.733459473E1,5.523681641E-1,5.140991211E1
6.996668865E0,-2.568664551E1,-1.342773438E-1,5.259552002E1
7.046351482E0,-2.532043457E1,-2.944946289E0,5.243988037E1
7.146357586E0,-2.443847656E1,-3.807067871E0,5.302886963E1
7.246302654E0,-2.666778564E1,-2.397155762E0,5.066223145E1
7.296290447E0,-2.663879395E1,-1.354980469E0,5.244598389E1
7.396266033E0,-2.704010010E1,2.655029297E-1,5.140991211E1
7.496241619E0,-2.857360840E1,-2.273559570E-1,5.111389160E1
7.546229412E0,-2.820739746E1,1.713562012E0,5.111846924E1
7.646204998E0,-2.721557617E1,-4.806518555E-1,5.230102539E1
7.746211101E0,-2.761230469E1,1.284790039E0,5.096740723E1
7.796198894E0,-2.671966553E1,8.712768555E-1,5.260009766E1
7.896143963E0,-2.564086914E1,1.197814941E0,5.155639648E1
7.996180584E0,-2.677459717E1,-9.155273438E-1,5.155487061E1
8.046412517E0,-2.621459961E1,-2.226257324E0,5.437469482E1
8.146113445E0,-2.763366699E1,-3.906250000E0,5.333557129E1
8.246058513E0,-2.905426025E1,-9.872436523E-1,5.081939697E1
8.296046306E0,-2.764587402E1,2.456665039E-1,5.096588135E1
8.396327068E0,-2.731475830E1,1.298522949E0,5.274963379E1
8.496027996E0,-2.714996338E1,1.446533203E0,5.007324219E1
8.545985271E0,-2.704010010E1,2.655029297E-1,5.140991211E1
8.645960857E0,-2.334442139E1,1.716613770E0,5.095672607E1
8.746272136E0,-2.669830322E1,1.461791992E0,5.155792236E1
8.795924236E0,-2.606506348E1,2.227783203E0,5.185546875E1
8.895899822E0,-2.541961670E1,3.433227539E0,5.215454102E1
8.995875408E0,-2.615051270E1,-4.470825195E-1,5.185089111E1
9.045863201E0,-2.498779297E1,-2.041625977E0,5.273742676E1
9.145869304E0,-2.539215088E1,-4.226684570E-1,5.259399414E1
9.245844890E0,-2.644653320E1,-1.602172852E-1,5.229949951E1
9.295802166E0,-2.603607178E1,-1.330566406E0,5.496978760E1
9.395777752E0,-2.666320801E1,2.502441406E0,5.111389160E1
9.495753338E0,-2.659606934E1,-1.678466797E-2,5.244903564E1
9.545741130E0,-2.614898682E1,-4.486083984E-1,5.155334473E1
9.645747234E0,-2.609710693E1,1.184082031E0,5.155639648E1
9.745722820E0,-2.548675537E1,1.353454590E0,5.215148926E1
9.796015789E0,-2.566680908E1,4.577636719E-1,5.229949951E1
9.895655681E0,-2.618713379E1,3.413391113E0,5.423736572E1
9.995692302E0,-2.547760010E1,1.651000977E0,5.215148926E1
1.004561906E1,-2.568664551E1,-1.342773438E-1,5.259552002E1
1.014593034E1,-2.721252441E1,-4.821777344E-1,5.081481934E1
1.024563127E1,-2.725982666E1,2.931213379E0,5.171203613E1
1.029561906E1,-2.744750977E1,1.737976074E0,5.156250000E1
1.039553361E1,-2.918701172E1,4.353332520E0,5.083007812E1
1.049584489E1,-2.620697021E1,2.668762207E0,5.275115967E1
1.054549699E1,-2.452239990E1,-1.580810547E0,5.422515869E1
1.064547258E1,-2.041473389E1,-1.300048828E0,5.644226074E1
1.074544816E1,-2.038116455E1,-2.593994141E-1,5.674133301E1
1.079543596E1,-2.225341797E1,-1.802062988E0,5.644531250E1
1.089541154E1,-2.335815430E1,1.420593262E0,5.244293213E1
1.099538713E1,-2.507476807E1,1.831054688E-1,5.482330322E1
1.104537492E1,-2.396850586E1,1.251220703E0,5.229644775E1
1.114538102E1,-2.634887695E1,2.809143066E0,5.111541748E1
1.124532609E1,-2.540283203E1,4.028320312E0,5.245208740E1
1.129531388E1,-2.449035645E1,3.906250000E0,5.155792236E1
1.139528947E1,-2.646636963E1,3.994750977E0,5.215911865E1
1.149526506E1,-2.631378174E1,3.846740723E0,5.007629395E1
1.154555802E1,-2.758636475E1,2.026367188E0,5.022583008E1
1.164528947E1,-2.696990967E1,2.343750000E0,5.022430420E1
1.174526506E1,-2.510681152E1,3.739929199E0,5.245208740E1
1.179519181E1,-2.527923584E1,3.141784668E0,5.304412842E1
1.189547258E1,-2.695770264E1,2.941894531E0,5.275268555E1
1.199520402E1,-2.521667480E1,3.250122070E-1,5.274353027E1
1.204513078E1,-2.567443848E1,1.586914062E-1,5.155487061E1
1.214510636E1,-2.852172852E1,1.405334473E0,5.082092285E1
1.224544816E1,-2.735900879E1,4.409790039E0,5.052795410E1
1.229510026E1,-2.855682373E1,4.965209961E0,5.023345947E1
1.239504533E1,-2.628021240E1,4.887390137E0,5.007781982E1
1.249502092E1,-2.799987793E1,3.349304199E0,4.993133545E1
1.254500871E1,-2.785797119E1,3.056335449E0,5.052490234E1
1.264498430E1,-2.776794434E1,5.879211426E0,5.052947998E1
1.274495988E1,-2.657012939E1,5.473327637E0,5.156555176E1
1.279494767E1,-2.502899170E1,6.115722656E0,5.215911865E1
1.289495378E1,-2.378234863E1,2.447509766E0,5.318908691E1
1.299489885E1,-2.508087158E1,-1.144409180E-1,5.378265381E1
1.304494767E1,-2.530517578E1,2.250671387E0,5.185394287E1
1.314489274E1,-2.840118408E1,5.203247070E-1,5.215759277E1
