"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.408371500E-2,-6.780242920E-1,-2.521057129E-1,4.557800293E-2
1.140837150E-1,2.181091309E-1,6.980895996E-2,1.659240723E-1
1.640837150E-1,1.014404297E-1,-2.588348389E-1,-1.059112549E-1
2.140837150E-1,1.713562012E-2,2.707824707E-1,9.918212891E-4
2.640837150E-1,-6.593322754E-2,1.986999512E-1,-1.694488525E-1
3.140837150E-1,-5.432128906E-2,-1.264953613E-2,7.244873047E-2
3.640837150E-1,5.500793457E-2,2.188568115E-1,7.489013672E-2
4.140837150E-1,4.158020020E-2,3.620910645E-2,8.100891113E-2
4.640837150E-1,-2.485809326E-1,-1.390991211E-1,-1.211853027E-1
5.140837150E-1,-3.395996094E-1,-4.274291992E-1,8.406066895E-2
5.640837150E-1,-4.843750000E-1,-1.293334961E-1,-1.028594971E-1
6.140837150E-1,-1.227416992E-1,9.484863281E-2,1.502990723E-2
6.640837150E-1,-1.190795898E-1,-8.045959473E-2,-1.242370605E-1
7.140837150E-1,-1.141967773E-1,2.982788086E-1,3.701782227E-2
7.640837150E-1,-1.868743896E-1,-3.770446777E-2,-1.672363281E-2
8.140837150E-1,-1.178588867E-1,1.779327393E-1,-7.843017578E-2
8.640837150E-1,-5.187988281E-2,-4.197692871E-2,6.512451172E-2
9.140837150E-1,-1.960449219E-1,-1.205444336E-2,-1.499023438E-1
9.640837150E-1,-4.403991699E-1,-4.280548096E-1,-2.543487549E-1
1.014083715E0,-2.919464111E-1,-3.064880371E-1,5.534362793E-2
1.064083715E0,-2.473602295E-1,-4.685974121E-2,1.591949463E-1
1.114083715E0,-9.158325195E-2,-5.080718994E-1,1.231536865E-1
1.164083715E0,2.517242432E-1,-2.698364258E-1,1.995086670E-1
1.214083715E0,8.821411133E-1,9.545898438E-2,4.985046387E-2
1.264083715E0,5.620422363E-1,7.497100830E-1,-4.583892822E-1
1.314083715E0,6.408691406E-4,3.318634033E-1,-3.490447998E-1
1.364083715E0,3.494567871E-1,-2.814331055E-1,-2.244262695E-1
1.414083715E0,4.502563477E-1,-2.734985352E-1,-2.341918945E-1
1.464083715E0,2.437744141E-1,3.446960449E-1,-2.610778809E-1
1.514083715E0,1.515350342E-1,-8.412170410E-2,1.604156494E-1
1.564083715E0,4.386444092E-1,-1.818695068E-1,1.304931641E-1
1.614083715E0,1.380920410E-1,2.398681641E-2,-4.727172852E-2
1.664083715E0,4.532928467E-1,-3.219604492E-2,1.756896973E-1
1.714083715E0,4.551391602E-1,1.114395142E0,4.181976318E-1
1.764083715E0,-1.777191162E-1,-8.984069824E-1,-5.762939453E-1
1.814083715E0,-3.416442871E-2,-1.311645508E-1,-2.708587646E-1
1.864083715E0,-5.515747070E-1,6.507415771E-1,8.283996582E-2
1.914083715E0,-9.124755859E-3,-4.726409912E-1,6.268310547E-2
1.964083715E0,3.317413330E-1,7.774353027E-2,3.387908936E-1
2.014083715E0,4.313049316E-1,-1.922454834E-1,3.033599854E-1
2.064083715E0,4.722442627E-1,-4.054412842E-1,4.653930664E-3
2.114083715E0,1.008300781E-1,9.729003906E-2,-1.859436035E-1
2.164083715E0,1.643676758E-1,-4.237670898E-1,-5.225219727E-1
2.214083715E0,-2.944030762E-1,4.118804932E-1,-3.233795166E-1
2.264083715E0,-9.920043945E-1,-5.847167969E-2,-1.109573364E0
2.314083715E0,-1.612243652E-1,4.430541992E-1,2.969360352E-2
2.364083715E0,-4.098510742E-1,2.756652832E-1,-3.199768066E-2
2.414083715E0,3.628845215E-1,-3.278656006E-1,-8.087158203E-2
2.464083715E0,1.038818359E-1,3.336944580E-1,-7.292175293E-2
2.514083715E0,4.465789795E-1,-6.945800781E-2,-9.309387207E-2
2.564083715E0,2.456054688E-1,-2.117919922E-1,-1.627349854E-1
2.614083715E0,2.877502441E-1,-1.020812988E-2,-2.030487061E-1
2.664083715E0,2.156677246E-1,6.307983398E-2,9.918212891E-4
2.714083715E0,1.057128906E-1,4.658508301E-2,-6.254577637E-2
2.764083715E0,-1.441192627E-1,-1.250610352E-1,-3.044433594E-1
2.814083715E0,-4.049682617E-1,-1.806488037E-1,5.534362793E-2
2.864083715E0,-1.819915771E-1,-5.847167969E-2,2.416534424E-1
2.914083715E0,-1.997070312E-1,1.571655273E-1,2.410583496E-1
2.964083715E0,4.080963135E-1,-2.570037842E-1,3.369598389E-1
3.014083715E0,1.967315674E-1,9.851074219E-2,1.909637451E-1
3.064083715E0,2.254486084E-1,-1.653747559E-1,9.077453613E-2
3.114083715E0,2.480468750E-1,5.209350586E-2,3.051910400E-1
3.164083715E0,4.707336426E-2,3.742980957E-2,-7.780456543E-2
3.214083715E0,2.792053223E-1,2.396240234E-1,3.485717773E-1
3.264083715E0,-2.498016357E-1,2.848358154E-1,-4.730529785E-1
3.314083715E0,-3.066101074E-1,7.469177246E-2,-7.414245605E-2
3.364083715E0,-3.988494873E-1,-1.482696533E-1,-9.124755859E-2
