"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.596481900E-2,-3.118133545E1,3.031921387E0,5.352020264E1
1.359678260E-1,-3.280944824E1,4.162597656E0,5.010833740E1
2.359128940E-1,-3.158569336E1,4.348754883E0,4.995574951E1
2.859312050E-1,-3.008270264E1,-4.928588867E-1,5.484771729E1
3.858762730E-1,-3.039703369E1,-7.995605469E-1,5.484771729E1
4.858823770E-1,-2.876739502E1,-2.082824707E0,5.588226318E1
5.359006870E-1,-2.905273438E1,-1.496887207E0,5.588531494E1
6.358152380E-1,-2.885284424E1,-4.756164551E0,5.617370605E1
7.358213420E-1,-2.721099854E1,-5.593872070E0,5.706024170E1
7.860837930E-1,-2.947540283E1,-5.221557617E0,5.587768555E1
8.858152380E-1,-2.915802002E1,-4.765319824E0,5.587921143E1
9.857297890E-1,-2.953796387E1,-7.151794434E0,5.587463379E1
1.035748099E0,-2.655944824E1,-8.985900879E0,5.779571533E1
1.136028861E0,-2.638854980E1,-8.387756348E0,5.735168457E1
1.235729789E0,-2.397766113E1,-4.151916504E0,5.957946777E1
1.285687064E0,-2.531890869E1,-3.456115723E0,5.750427246E1
1.385632133E0,-2.871856689E1,-7.492065430E-1,5.365447998E1
1.485912894E0,-2.993316650E1,3.959655762E0,5.218048096E1
1.535595512E0,-2.945098877E1,4.716491699E0,5.099334717E1
1.635571098E0,-2.962036133E1,8.865356445E0,5.129547119E1
1.735546683E0,-3.282928467E1,1.291656494E1,4.908447266E1
1.785534476E0,-3.009643555E1,8.256530762E0,5.085144043E1
1.885540580E0,-2.977905273E1,8.560180664E0,4.966125488E1
1.985485648E0,-2.971038818E1,1.063842773E1,4.907073975E1
2.035473441E0,-2.891693115E1,1.170654297E1,4.966430664E1
2.135479545E0,-2.716369629E1,1.413269043E1,4.832611084E1
2.235424613E0,-2.855834961E1,1.334686279E1,4.832916260E1
2.285503959E0,-2.643432617E1,8.517456055E0,4.950561523E1
2.385380077E0,-3.018493652E1,5.282592773E0,4.831848145E1
2.485355663E0,-2.857055664E1,8.149719238E0,4.802246094E1
2.535648632E0,-2.975463867E1,8.999633789E0,4.609527588E1
2.635410595E0,-2.712097168E1,1.056671143E1,4.594268799E1
2.735355663E0,-2.768249512E1,1.188507080E1,4.475860596E1
2.785282421E0,-2.787933350E1,1.069335938E1,4.713439941E1
2.885563183E0,-2.772369385E1,1.084899902E1,4.743041992E1
